Message ID,Subject,Message,Spam/Ham,Date
30574,december giveaway _ ms money 2004,"winter software sale
we have everything !
windows xp professional 2002 . . . . . . . . . . $ 50
adobe photoshop 7 . 0 . . . . . . . . . . . . . . . . . . . . . . . . . . $ 60
microsoft office xp pro 2002 . . . . . . . . . . . . . $ 60
corel draw graphics suite 11 . . . . . . . . . . . . . $ 60
more here
assault esprit forgeinaudible
glamorous haystackhorrify tooth woodyviet
covariant cooleyformatted anyplace insubstantialvalois
peruse debug discipletransportation",spam,2004-11-26
11807,ferc inquiry into electronic trading ( & eol ),"today , we received a letter from ferc notifying us that they are initiating an inquiry to increase "" their understanding of the scope and development of electronic trading in electric power and natural gas markets . "" ferc is requesting that enrononline "" cooperate "" with the inquiry . the letter states that they will be sending us a request for information , and visiting our offices in houston .
we ' re not certain what ferc is after with this inquiry , but wanted to make sure you were aware of this development . we are looking into this , and will get back to you asap with further information .
lisa yoho
government affairs",ham,2001-05-23
8031,contact info,"i will be out next week . if there are any problems with or questions
concerning the grains report , please let me know . i can be reached on my
cell phone at 713 - 303 - 5973 and will periodically check voice mail . have a
good holiday !
nelson",ham,2000-12-22
23673,accommodations in london,"fyi : as i mentioned , i am staying in the four seasons next week . the hotel
is located at hamilton place park lane . i thought the location might mean
something to you .",ham,2001-01-09
16579,capital book,"to further the process of reaching the stated objectives of increasing enron america ' s velocity of capital and associated return on invested capital , we have decided to create a capital book . the capital book will have no profit target associated with it and will be managed by joe deffner . the purpose of creating this book is to ensure that all transactions within enron americas , with any form of capital requirement , are structured correctly and are allocated the appropriate cost of capital charge .
the previous numbers used in the business plans at the beginning of this year will remain for all transactions in place and where we hold assets . therefore , on any assets currently held within each business area , the capital charge will remain at 15 % . internal ownership of these assets will be maintained by the originating business unit subject to the internal ownership policy outlined below .
the cost of capital associated with all transactions in enron americas will be set by joe . this process is separate and apart from the current rac process for transactions which will continue unchanged .
capital investments on balance sheet will continue to accrue a capital charge at the previously established rate of 15 % . transactions which are structured off credit will receive a pure market pass through of the actually incurred cost of capital as opposed to the previous 15 % across the board charge . transactions which are structured off balance sheet , but on credit will be priced based upon the financial impact on enron america ' s overall credit capacity .
on transactions that deploy capital through the trading books , the capital book will take a finance reserve on each transaction , similar to the way the credit group takes a credit reserve . this finance reserve will be used specifically to fund the capital required for the transaction . as noted above , the capital book will have no budget and will essentially charge out to the origination and trading groups at actual cost .
by sending market - based capital pricing signals internally , enron america ' s sources of capital and liquidity should be better optimized across the organization .
questions regarding the capital book can be addressed to :
joe deffner 853 - 7117
alan quaintance 345 - 7731",ham,2001-04-17
15034,"fw : agenda : ubs warburg / "" energy "" integration meeting thurs . 7 fe","b . , 9 : 00 cst , 10 : 00 est
meeting details for thursday , 7 feb . meeting 10 : 00 am ( est ) , 9 : 00 am
( ct ) 15 : 00 ( london )
dial in information :
network : 19 - 337 - 0070
for external dial - in : + 1 - 203 - 719 - 0070
freephone within usa : 1 - 877 - 315 - 5218
conference pin : 553815
please be on time for this call . . . . .
agenda :
- opening remarks - louise kitchen / pat o ' donnell / mike bolin
- program office update - mark bridges / dave forster
- critical milestones
- legal legal go - no go decision lou eber / mark haedicke
- business louise kitchens
- crm bill glass / bill bradford
- mrm mike stockman / joel forbes
- fcd per dyrvik / wes colwell
- cre markus buergler / jeff golden
- ops ernie pittarelli / sally beck
- it matt meinel / jenny rub / jay webb
- corp comms claudia robinson / neil davis
- hr audrey martin / david oxley
- security rocco veltri
- cas bruce reilly / wes colwell
important : following this thursday ' s meeting , the next integration
team meeting will be friday , 8 feb . , 10 : 00 est , 9 : 00 cst , 1500 london
time . the purpose of this meeting is to make a go no go decision re
commercial integration ( first day of trading , 11 feb ) . dial in
number and participants will be the same as above .
important : the latest minutes of the integration team meetings ,
up - dated critical issues list , are on the integration web site . this
site is updated nightly .
ubs warburg employees can access the integration web site by typing :
http : / / energy
ubs warburg energy llc employees need to enter :
http : / / ubsintegration . corp . enron . com please sure your normal logon
and
password .
visit our website at http : / / www . ubswarburg . com
this message contains confidential information and is intended only
for the individual named . if you are not the named addressee you
should not disseminate , distribute or copy this e - mail . please
notify the sender immediately by e - mail if you have received this
e - mail by mistake and delete this e - mail from your system .
e - mail transmission cannot be guaranteed to be secure or error - free
as information could be intercepted , corrupted , lost , destroyed ,
arrive late or incomplete , or contain viruses . the sender therefore
does not accept liability for any errors or omissions in the contents
of this message which arise as a result of e - mail transmission . if
verification is required please request a hard - copy version . this
message is provided for informational purposes and should not be
construed as a solicitation or offer to buy or sell any securities or
related financial instruments .",ham,2002-02-05
30400,metallurgist,"email loading . . . @
ingenuous therein success entourage immaculate perseverance autocratic loudspeaking catalytic grief regressive boniface schizoid depositor cowpox cylindric fermion doleful den you ailanthus crevice aniseikonic cartographer rendezvous alps demurring aylesbury snick aaron hairpin fruehauf brook lutanist
",spam,2004-11-13
13497,time sensitive : executive impact & influence program survey,"* immediate action required - do not delete *
executive impact & influence program
dear louise kitchen ,
as part of the executive impact and influence program ,
each participant is asked to gather input on the
participant ' s own management styles and practices as
experienced by their immediate manager , each direct
report , and up to eight colleagues / peers .
you have been requested to provide feedback for a
participant attending the next program . your input
( i . e . , a self assessment , if you are a participant in
this program , manager assessment , direct report
assessment , or colleague / peer assessment ) will be
combined with the input of others and used by the
program participant to develop an action plan to
improve his / her management styles and practices . if
you are providing feedback as a manager of the
participant , please note that your feedback will be
identified in the summary report .
it is important that you complete this assessment no
later than close of business on monday , october 22 , 2001 .
to begin the online administration process , you will
need the following internet address and password ( s ) .
note : if you are providing feedback for more than one
person , each password and participant name is
individually listed below .
open your internet browser e . g . , internet explorer or
netscape navigator , and please type or copy the url
address below into your internet browser ( please do not
go through lotus notes ) :
www . fsddatasvc . com / enron
udcmxa ( marcello romano )
if you experience technical problems , please call
dennis ward at fsd data services , 713 - 942 - 8436 . if you
have any questions about this process , you may contact
lerea pharr at enron , 713 - 345 - 8434 , or christi smith at
leadership research institute , 619 - 216 - 0404 .
thank you for your participation .",ham,2001-10-25
20881,die renner,"der ultimative erotiknewsletter . alle seiten wurden von uns getestet und f?r
gut befunden :
junge schulm?chen und collegeteenies vor der cam
http : / / www . pornladys . com
extrem fetish voyeur , in deutschland strengstens verboten und hier live zu
sehen
http : / / www . sexlude . com
livecams , 50 . 000 bilder und videos von scharfen lesben
http : / / www . mysexgirlie . com /
flatratesex , f?r nur 14 , 99 euro kannst du dir einen monat lang ?ber 200
private livecams
anschaun , dazu noch unz?hlige bilder und videos , ohne 0190 ohne versteckte
kosten .
der absolute hammer !
http : / / www . sexania . com
kein bock mehr auf unsere mails ? dann einfach hier austragen lassen :
",spam,2005-01-04
16904,sap security mailbox functional again,"the technical difficulties with the sap security email box have been resolved . you may once again follow the normal submission process as noted in the instructions for the sap security request form and the ibuyit eprocurement request form . if you submitted a request for security during the week of july 16 - 20 and have not received a notification of it ' s receipt , please resubmit the form . we can not be certain that all mail directed to the box during this period was actually received . we apologize for any inconvenience that this may have caused you .",ham,2001-07-24
