Message ID,Subject,Message,Spam/Ham,Date
9227,re : ut short course travel arrangements,"martin ,
i can join the car pool .
vince
from : martin lin on 04 / 25 / 2001 10 : 59 am
to : vince j kaminski / hou / ect @ ect , vasant shanbhogue / enron @ enronxgate , sandeep kohli / enron _ development @ enron _ development , lance cunningham / na / enron @ enron , sevil yaman / corp / enron @ enron
cc :
subject : ut short course travel arrangements
if the schedule works , perhaps a carpool is best for attending the course , given the number of us going . vasant has offered to drive . dependiing on driving speed and traffic , leaving houston by 9 : 30 am should give sufficient time to make the lpm class , including some time for lunch .
please let me know if you are interested in the carpool or have alternate plans or suggestions .
thanks ,
martin",ham,2001-04-25
19078,get microsoft and adobe software cheap,"never pay full price for
software again !
get all the major titles like
windows , office , adobe , and so much more for 70 % off retail .
go here to view more of
our great titles and to purchase . if you are tired of not being able to
afford the software you need to become more productive then you have found the
right place .
visit us today and look
around to find what you need at 70 % off retail .
injun methodist fescue picky preponderant beneficent crimp spheric dobson altogether permian gallberry duck solvent chrysler egress bema calamity abyssinia crowd tell evansville diatom chenille
amok gale syrinx diabetes arbiter craftsmen inconvenient befogging detente embargo delight exercisable ian trudge debugging
fumigate maniacal alabamian aphorism thigh soya jerome adore cohesive appreciate wildcat bole celebes brine
",spam,2004-06-06
6431,numbers for sharad agnihotri,"hi dale ( i would also like to arrange for a direct reporting line to
me for sharad .
regards ,
anjam
x 35383
p . s . kate : i have attached the agencies terms and conditions below :
- - - - - - - - - - - - - - - - - - - - - - forwarded by anjam ahmad / lon / ect on 05 / 07 / 2000 16 : 21
- - - - - - - - - - - - - - - - - - - - - - - - - - -
enron capital & trade resources corp .
from : alex blair
05 / 07 / 2000 15 : 29
to : "" ' anjam ahmad ' ""
cc :
subject : numbers
anjam ,
? ? ? ? ? ? ? as requested please find enclosed details on sharad ' s numbers :
? ? ? ? ? ? ? basic salary : o 40 , 000
? ? ? ? ? ? ? car allowance : o 3 , 500
? ? ? ? ? ? ? ( paid in cash )
? ? ? ? ? ? ? annual bonus : ol 3 , 000 ( this bonus was paid for ? ? ? ? ? ? ?
99 - 00 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 8 mths work april - dec )
total o 56 , 500
sharad has been informed that his bonus payments for year 00 - 01 will be
floored at o 25 , 000 . ? sharad ' s expectations therefore are to receive a base
salary of between o 57 . 5 - o 60 k plus bonus .
i hope this is of use and ask that if you have any questions that you do not
hesitate to call .
alex blair
senior consultant
alex . blair @ alexmann . com
tel : 0207 891 6671
fax : 0207 905 1313
web :
"" the alexander mann group has a stated policy for the use of electronic
mail which is rigorously enforced throughout the group . the contents of
this e mail should meet the requirements of the policy - if you would
like further details please forward this message to info @ alexmann . com
or call 0207 242 9000 .
the information contained in this electronic mail message is
confidential . it is intended solely for the use of the individual or
entity to whom it is addressed and others authorised to receive it . if
the reader of this message is not the intended recipient , you are hereby
notified that any use , copying , dissemination or disclosure of this
information is strictly prohibited . """,ham,2000-07-05
30013,"shipped to your door , secretly","cialis
cialis is regarded as a super - viagr @ or weekend - vi @ gra because its
effects start
sooner and last much longer . men that do not have impotence problems report
that regalls increases sexual pleasure and staying power , as well as
increasing
the size and hardness of erections
get cialis now at low prlces
$ 1 . 90 per dose . unbeleivable
highwayman ashen bunk source coma buy russ mel ingratiate caliber
besotted catskill moravia brainard slap commonplace schoolwork differentiate irresponsible
milton ship corsage sappy concertina contradistinction dingo moire postmen knobby chalkline
ellsworth cranium galois manhole upheld bigelow caliph albrecht
schweitzer teratology pulp roundhouse attenuate giovanni olympic byers
polecat anion credit intransigent lunchroom collinear elba lithospheric
go here to stop this .
",spam,2004-10-16
15406,472 - home loans as low as 2 . 93 %,"hello ,
we sent you an email a while ago , because you now qualify for a new mortgage .
you could get $ 300 , 000 for as little as $ 700 a month !
bad credit is no problem , you can pull cash out or refinance .
please click on this link for free consultation by a mortgage broker :
start saving here
best regards ,
mitzi fontenot
crossbar delectate almighty syntheses congressional cheesy label doreen fanfare added pythagoras slurry among applied loincloth barricade arhat boeotian avaricious inc proffer onslaught farther scylla lossy necktie atwater hotelman bearish brevet palindrome ambush afield tiresomedianne icelandic yellow always debutante enhance tetrachloride psychoacoustic bouffant dido seraphim swell indenture symptomatic surveyor dagger decent diabaseangst deferring inalterable americana isomer blum stick bloomington broaden malt omega centrifugate christendom gibbons della breath bequest pyrotechnicerg protect barbital probabilist skylight davit jenkins actuarial insipid rattlesnake tn proof kowloon robbin cox",spam,2004-11-11
15276,cómo solventar observaciones de las instancias fiscalizadoras zmocu,"quality training de m?xico
presenta en :
? m?xico , d . f . , guadalajara , tijuana y m?rida !
c?mo solventar observaciones de las instancias fiscalizadoras
? lo que todo servidor p?blico debe saber !
la cuenta p?blica es el producto terminado de la contabilidad gubernamental , que es donde finalmente , quedan plasmadas todas las operaciones que hace un gobierno , cualquiera que sea su instancia : municipal , estatal o federal . la contabilidad est? , a su vez , ?ntimamente relacionada al presupuesto autorizado por los congresos estatales y federales y en el caso de los municipios , por el decreto de presupuestos de egresos municipales , y no puede , bajo ning?n concepto , excederse de su tope y alterar sus cap?tulos .
la falta de conocimiento del marco normativo y la falta de informaci?n oportuna conllevan a un registro err?neo de las operaciones . este seminario est? dise?ado para que usted obtenga la certeza de que los registros y control contable y presupuestal de los ingresos y egresos del sector p?blico que est? llevando son correctos no s?lo aritm?ticamente sino de acuerdo con la normatividad vigente en la materia .
con los conocimientos adquiridos durante este seminario , usted :
- se actualizar? en el tema y obtendr? fundamentos s?lidos para elaborar correctamente los estados financieros y cuentas p?blicas del gobierno de que se trate .
- evitar? errores en los registros contables y presupuestales .
- tendr? la informaci?n que sus jefes requieren para tomar decisiones mejores y oportunas .
- conocer? los riesgos de utilizar err?neamente recursos presupuestados para inversi?n o para gasto corriente .
? no se lo puede perder !
solicite informaci?n completa de click abajo !
m?xico , d . f . : 18 y 19 de octubre de 2004
sede : hotel nikko m?xico
de click aqu? . . . ! solicite informaci?n completa
informes al tel : 54 46 69 00 con 10 lineas
guadalajara : 25 y 26 de octubre de 2004
sede : hotel presidente intercontinental
de click aqu? . . . ! solicite informaci?n completa
informes al tel : 31 23 12 00 con 10 lineaslada sin costo : 01 800 633 7000
tijuana : 28 y 29 de octubre de 2004
sede : hotel camino real
de click aqu? . . . ! solicite informaci?n completa
informes al tel : 634 65 80 con 10 lineaslada si costo : 01 800 026 99 29
m?rida : 01 y 02 de noviembre de 2004
sede : hotel hyatt m?rida
de click aqu? . . . ! solicite informaci?n completa
informes al tel : 948 06 08 con 10 lineaslada sin costo : 01 800 90 10000
si no desea recibir m?s informaci?n de nuestros exclusivos programas de capacitaci?n de click aqu?
www . italiam . comquality training de m?xico © derechos reservados
",spam,2004-10-14
30665,ref . number : 132 / 756 / 4509,"batch number : 538901527 - bc 68
ticket number : 27522465896 - 6453
dear sir / madam ,
we are pleased to inform you of the result of the winners in our
international lottery program held on the 27 th of nov , 2004 . your e - mail
address attached to ticket number 27522465896 - 6453 with serial number
3772 - 554 drew lucky numbers 7 - 14 - 18 - 31 - 45 which consequently won in the 2 nd category , you have therefore been approved for a lump sum pay out of 2 , 000 , 000 euros ( two million eur ) .
congratulations !
due to mix up of some numbers and names , we ask that you keep your winning information confidential until your claims have been fully processed and your money remitted to you . this is part of our security protocol to avoid multiple claims and unwarranted abuse of this program by some participants . all participants were selected through a computer ballot system drawn from over 20 , 000 company and 30 , 000 , 000 individual email addresses and names from all over the world . this promotional program takes place every five years .
this lottery was promoted and sponsored by a conglomorate of some
multinational companies in europe as part of their social responsibility
to the citizens in the communities where they have operational base . we
hope with part of your winnings you will take part in our next year ten
million euros international lottery .
to file for your claim , please contact our fiducial agent :
robert dale
robertdale & associates
reply email : robertdale 2004 @ netscape . net
remember all winning must be claimed not later than 23 rd dec 2004 . after this date all unclaimed funds will be included in the next stake . please note in order to avoid unnecessary delays and complications , remember to quote your reference number and batch numbers in all correspondence .
furthermore should there be any change of address do inform our agent as soon as possible . congratulations once more from our members of staff and thank you for being part of our promotional program .
note : anybody under the age of 18 is automatically disqualified .
yours sincerely ,
mrs . lylian donald
international lottery ( co - ordinator )
n . b : any breach of confidentiality on the part of the winners will result
to disqualification . please do not reply to this mail . contact your claims
agent .",spam,2004-12-03
12161,sale of north carolina plants to aig highstar,"i wanted each of you to know that the sale to aig highstar just closed . we are in receipt of the wire from aig ( approx $ 27 million ) and are in the process of sending the wires back out ( approx $ 1 million ) . feel free to call with any questions .
regards ,
stuart",ham,2001-07-12
16129,help,"dear friend ,
i sincerely apologise for invading your privacy and crave your indulgence to read
through my request for assistance in this mutually beneficial and risk free
transaction .
i am mr . pao , i am moved to write you this letter , this was in confidence
considering our present circumstance and situation .
i escaped with my wife and children out of sierra - leone to europe where we are
now presently residing on temporary political asylum .
however due to this situation i decided to change most of my millions of dollars
deposited in swiss bank and other countries into other forms of money coded for
safe purpose because the new head of states ahmed tejan kabba made arrangements
with the swiss government and other european countries to freeze all my treasures
deposited in some european countries , hence i and my wife along with my children ,
decided laying low in a temporary political asylum to study the situation till when
things gets better , since president tejan kabba taking over government again in
sierra - leone one of my chateaux in southern france was confiscated by the french
government , and as such we had to change our identity so that our investment will
not be traced and confiscated .
i have deposited the sum of thirty million , five hundred thousand united states
dollars ( us $ 30 , 500 , 000 ) with a security company for safekeeping .
the funds are security coded to prevent them from knowing the actual contents .
what i want you to do now is to indicate your interest that you will assist me and
my immediate family by receiving the money on our behalf .
the account required for this project can either be personal , company or an offshore
account that you have total control over , your area of specialisation will not be a
hinderance to the successful execution of this transaction .
ackowledge this message , so that i can introduce you to my family as our foreign
trusted partner who shall take charge of our investment abroad where we now plan to
settle .
i want you to assist us in investing this money , but i will not want our identity
revealed . i will also want to buy properties and stocks in multi - national companies
and to engage in other safe and non speculative investments .
we have been through a lot of health and spiritual turmoil , hence will need your
understanding and assistance .
may i at this point emphasize the high level of confidentiality which this business
demands and hope you will not betray the trust and confidence which we repose in
you . i shall put you in the picture of this business , i . e tell you where the funds
are currently being maintained and also discuss other modalities including
remuneration for your services .
i shall inform you with the next line of action as soon as i receive your positive
response .
is this proposition attainable ? if it is , please kindly furnish me immediately by e -
mail with your direct telephone and fax numbers to enhance the confidentiality
which this business demands .
best regards
mr . pao",spam,2005-04-18
29820,greatest online medication here,"bradley tripoli extraditable empire ceramium whittier
we ship quality medications overnight to your door !
absolutely no doctor ' s appointments needed !
lowest prices on brand name and generic drvgs !
stop getting promotional material here
skirt excision borneo kapok pigmentation policeman
",spam,2004-09-28
