,arxiv_id,cited_paper_title
0,2506.02838v1,"Agent Based Modeling in Economics and Finance: Past, Present, and Future"
0,2506.02838v1,Effective Policy for Reducing Inequality? The Earned Income Tax Credit and the Distribution of Income
1,2506.02634v1,Generative Dense Retrieval: Memory Can Be a Burden
1,2506.02634v1,Big Bird: Transformers for Longer Sequences
1,2506.02634v1,Contrastive Losses and Solution Caching for Predict-and-Optimize
1,2506.02634v1,{L}ayer{S}kip: Enabling Early Exit Inference and Self-Speculative Decoding
1,2506.02634v1,Large Language Models as Financial Data Annotators: A Study on Effectiveness and Efficiency
1,2506.02634v1,Fifer: Tackling Underutilization in the Serverless Era
1,2506.02634v1,"BERT4Rec: Sequential Recommendation with Bidirectional Encoder
  Representations from Transformer"
1,2506.02634v1,Contrastive Decoding: Open-ended Text Generation as Optimization
1,2506.02634v1,"LoongServe: Efficiently Serving Long-Context Large Language Models with
  Elastic Sequence Parallelism"
3,2506.00832v1,Contrastive Losses and Solution Caching for Predict-and-Optimize
3,2506.00832v1,Bootstrap your own latent: A new approach to self-supervised Learning
3,2506.00832v1,Uncertainty Estimation in Autoregressive Structured Prediction
3,2506.00832v1,Parametric Contrastive Learning
3,2506.00832v1,Contrastive Decoding: Open-ended Text Generation as Optimization
5,2505.24754v1,MAIR: A Massive Benchmark for Evaluating Instructed Retrieval
6,2505.24575v1,Open LLM Leaderboard v2
9,2505.23353v1,Learned D-AMP: Principled Neural Network based Compressive Image Recovery
9,2505.23353v1,Contrastive Losses and Solution Caching for Predict-and-Optimize
9,2505.23353v1,Bootstrap your own latent: A new approach to self-supervised Learning
9,2505.23353v1,AI Index Report
9,2505.23353v1,Uncertainty Estimation in Autoregressive Structured Prediction
9,2505.23353v1,Parametric Contrastive Learning
9,2505.23353v1,"Snapshot Compressive Imaging: Principle, Implementation, Theory,
  Algorithms and Applications"
9,2505.23353v1,Relational learning via collective matrix factorization
