review_content_1,review_content_2
A fantasy adventure that fuses Greek mythology to contemporary American places and values. Anyone around 15 (give or take a couple of years) will thrill to the visual spectacle,"It may not be truthful - but, my God, the result is thrilling."
A fantasy adventure that fuses Greek mythology to contemporary American places and values. Anyone around 15 (give or take a couple of years) will thrill to the visual spectacle,The movie is a revelation.
A fantasy adventure that fuses Greek mythology to contemporary American places and values. Anyone around 15 (give or take a couple of years) will thrill to the visual spectacle,"This is that rarity in films - an all-action, no-frills, straightforward re-creation of an heroic moment in history."
A fantasy adventure that fuses Greek mythology to contemporary American places and values. Anyone around 15 (give or take a couple of years) will thrill to the visual spectacle,As a spectacular war film with a powerful moral dimension.
A fantasy adventure that fuses Greek mythology to contemporary American places and values. Anyone around 15 (give or take a couple of years) will thrill to the visual spectacle,"The tension mounts, breaks, mounts, seems unbearable and then is borne at the right sort of pace, and, for a film that's largely taken up with killing, it strikes me as decently unbloodthirsty."
A fantasy adventure that fuses Greek mythology to contemporary American places and values. Anyone around 15 (give or take a couple of years) will thrill to the visual spectacle,A rousing reconstruction of the 1879 Battle of Rorke's Drift.
A fantasy adventure that fuses Greek mythology to contemporary American places and values. Anyone around 15 (give or take a couple of years) will thrill to the visual spectacle,"Seen today, it's not only a startling indictment of British imperialism, but it seems a remarkably forward-thinking work."
A fantasy adventure that fuses Greek mythology to contemporary American places and values. Anyone around 15 (give or take a couple of years) will thrill to the visual spectacle,A rousing visual spectacle that's a prequel of the Cy Endfield directed Zulu (1964).
"Uma Thurman as Medusa, the gorgon with a coiffure of writhing snakes and stone-inducing hypnotic gaze is one of the highlights of this bewitching fantasy","It may not be truthful - but, my God, the result is thrilling."
"Uma Thurman as Medusa, the gorgon with a coiffure of writhing snakes and stone-inducing hypnotic gaze is one of the highlights of this bewitching fantasy",The movie is a revelation.
"Uma Thurman as Medusa, the gorgon with a coiffure of writhing snakes and stone-inducing hypnotic gaze is one of the highlights of this bewitching fantasy","This is that rarity in films - an all-action, no-frills, straightforward re-creation of an heroic moment in history."
"Uma Thurman as Medusa, the gorgon with a coiffure of writhing snakes and stone-inducing hypnotic gaze is one of the highlights of this bewitching fantasy",As a spectacular war film with a powerful moral dimension.
"Uma Thurman as Medusa, the gorgon with a coiffure of writhing snakes and stone-inducing hypnotic gaze is one of the highlights of this bewitching fantasy","The tension mounts, breaks, mounts, seems unbearable and then is borne at the right sort of pace, and, for a film that's largely taken up with killing, it strikes me as decently unbloodthirsty."
"Uma Thurman as Medusa, the gorgon with a coiffure of writhing snakes and stone-inducing hypnotic gaze is one of the highlights of this bewitching fantasy",A rousing reconstruction of the 1879 Battle of Rorke's Drift.
