,text,category
0,How do I locate my card?,card_arrival
0,How do I locate my card?,card_linking
0,How do I locate my card?,exchange_rate
0,How do I locate my card?,card_payment_wrong_exchange_rate
0,How do I locate my card?,extra_charge_on_statement
0,How do I locate my card?,pending_cash_withdrawal
0,How do I locate my card?,fiat_currency_support
0,How do I locate my card?,card_delivery_estimate
0,How do I locate my card?,automatic_top_up
0,How do I locate my card?,card_not_working
0,How do I locate my card?,exchange_via_app
0,How do I locate my card?,lost_or_stolen_card
0,How do I locate my card?,age_limit
0,How do I locate my card?,pin_blocked
0,How do I locate my card?,contactless_not_working
0,How do I locate my card?,top_up_by_bank_transfer_charge
0,How do I locate my card?,pending_top_up
0,How do I locate my card?,cancel_transfer
0,How do I locate my card?,top_up_limits
0,How do I locate my card?,card_payment_fee_charged
0,How do I locate my card?,transfer_not_received_by_recipient
0,How do I locate my card?,supported_cards_and_currencies
0,How do I locate my card?,getting_virtual_card
0,How do I locate my card?,card_acceptance
0,How do I locate my card?,top_up_reverted
0,How do I locate my card?,balance_not_updated_after_cheque_or_cash_deposit
0,How do I locate my card?,card_payment_not_recognised
0,How do I locate my card?,edit_personal_details
0,How do I locate my card?,why_verify_identity
0,How do I locate my card?,unable_to_verify_identity
0,How do I locate my card?,get_physical_card
0,How do I locate my card?,visa_or_mastercard
0,How do I locate my card?,topping_up_by_card
0,How do I locate my card?,disposable_card_limits
0,How do I locate my card?,compromised_card
0,How do I locate my card?,atm_support
0,How do I locate my card?,direct_debit_payment_not_recognised
0,How do I locate my card?,passcode_forgotten
0,How do I locate my card?,declined_cash_withdrawal
0,How do I locate my card?,pending_card_payment
0,How do I locate my card?,lost_or_stolen_phone
0,How do I locate my card?,request_refund
0,How do I locate my card?,declined_transfer
0,How do I locate my card?,Refund_not_showing_up
0,How do I locate my card?,declined_card_payment
0,How do I locate my card?,pending_transfer
0,How do I locate my card?,terminate_account
0,How do I locate my card?,card_swallowed
0,How do I locate my card?,transaction_charged_twice
0,How do I locate my card?,verify_source_of_funds
0,How do I locate my card?,transfer_timing
0,How do I locate my card?,reverted_card_payment?
0,How do I locate my card?,change_pin
0,How do I locate my card?,transfer_fee_charged
0,How do I locate my card?,receiving_money
0,How do I locate my card?,failed_transfer
0,How do I locate my card?,transfer_into_account
0,How do I locate my card?,verify_top_up
0,How do I locate my card?,getting_spare_card
0,How do I locate my card?,top_up_by_cash_or_cheque
0,How do I locate my card?,order_physical_card
1,"I still have not received my new card, I ordered over a week ago.",card_arrival
1,"I still have not received my new card, I ordered over a week ago.",card_linking
1,"I still have not received my new card, I ordered over a week ago.",exchange_rate
1,"I still have not received my new card, I ordered over a week ago.",card_payment_wrong_exchange_rate
1,"I still have not received my new card, I ordered over a week ago.",extra_charge_on_statement
1,"I still have not received my new card, I ordered over a week ago.",pending_cash_withdrawal
1,"I still have not received my new card, I ordered over a week ago.",fiat_currency_support
1,"I still have not received my new card, I ordered over a week ago.",card_delivery_estimate
1,"I still have not received my new card, I ordered over a week ago.",automatic_top_up
1,"I still have not received my new card, I ordered over a week ago.",card_not_working
1,"I still have not received my new card, I ordered over a week ago.",exchange_via_app
1,"I still have not received my new card, I ordered over a week ago.",lost_or_stolen_card
1,"I still have not received my new card, I ordered over a week ago.",age_limit
1,"I still have not received my new card, I ordered over a week ago.",pin_blocked
1,"I still have not received my new card, I ordered over a week ago.",contactless_not_working
1,"I still have not received my new card, I ordered over a week ago.",top_up_by_bank_transfer_charge
1,"I still have not received my new card, I ordered over a week ago.",pending_top_up
1,"I still have not received my new card, I ordered over a week ago.",cancel_transfer
1,"I still have not received my new card, I ordered over a week ago.",top_up_limits
1,"I still have not received my new card, I ordered over a week ago.",wrong_amount_of_cash_received
1,"I still have not received my new card, I ordered over a week ago.",card_payment_fee_charged
1,"I still have not received my new card, I ordered over a week ago.",transfer_not_received_by_recipient
1,"I still have not received my new card, I ordered over a week ago.",getting_virtual_card
1,"I still have not received my new card, I ordered over a week ago.",card_acceptance
1,"I still have not received my new card, I ordered over a week ago.",top_up_reverted
1,"I still have not received my new card, I ordered over a week ago.",balance_not_updated_after_cheque_or_cash_deposit
1,"I still have not received my new card, I ordered over a week ago.",card_payment_not_recognised
1,"I still have not received my new card, I ordered over a week ago.",edit_personal_details
1,"I still have not received my new card, I ordered over a week ago.",why_verify_identity
1,"I still have not received my new card, I ordered over a week ago.",unable_to_verify_identity
1,"I still have not received my new card, I ordered over a week ago.",get_physical_card
1,"I still have not received my new card, I ordered over a week ago.",visa_or_mastercard
1,"I still have not received my new card, I ordered over a week ago.",topping_up_by_card
1,"I still have not received my new card, I ordered over a week ago.",disposable_card_limits
1,"I still have not received my new card, I ordered over a week ago.",compromised_card
1,"I still have not received my new card, I ordered over a week ago.",atm_support
1,"I still have not received my new card, I ordered over a week ago.",direct_debit_payment_not_recognised
1,"I still have not received my new card, I ordered over a week ago.",passcode_forgotten
1,"I still have not received my new card, I ordered over a week ago.",declined_cash_withdrawal
1,"I still have not received my new card, I ordered over a week ago.",pending_card_payment
1,"I still have not received my new card, I ordered over a week ago.",lost_or_stolen_phone
1,"I still have not received my new card, I ordered over a week ago.",request_refund
1,"I still have not received my new card, I ordered over a week ago.",declined_transfer
1,"I still have not received my new card, I ordered over a week ago.",Refund_not_showing_up
1,"I still have not received my new card, I ordered over a week ago.",declined_card_payment
1,"I still have not received my new card, I ordered over a week ago.",pending_transfer
1,"I still have not received my new card, I ordered over a week ago.",terminate_account
1,"I still have not received my new card, I ordered over a week ago.",card_swallowed
1,"I still have not received my new card, I ordered over a week ago.",transaction_charged_twice
1,"I still have not received my new card, I ordered over a week ago.",verify_source_of_funds
1,"I still have not received my new card, I ordered over a week ago.",transfer_timing
1,"I still have not received my new card, I ordered over a week ago.",reverted_card_payment?
1,"I still have not received my new card, I ordered over a week ago.",beneficiary_not_allowed
1,"I still have not received my new card, I ordered over a week ago.",transfer_fee_charged
1,"I still have not received my new card, I ordered over a week ago.",receiving_money
1,"I still have not received my new card, I ordered over a week ago.",failed_transfer
1,"I still have not received my new card, I ordered over a week ago.",transfer_into_account
1,"I still have not received my new card, I ordered over a week ago.",verify_top_up
1,"I still have not received my new card, I ordered over a week ago.",getting_spare_card
