review_content,review_type,is_fresh
A fantasy adventure that fuses Greek mythology to contemporary American places and values. Anyone around 15 (give or take a couple of years) will thrill to the visual spectacle,Fresh,True
"Uma Thurman as Medusa, the gorgon with a coiffure of writhing snakes and stone-inducing hypnotic gaze is one of the highlights of this bewitching fantasy",Fresh,True
"With a top-notch cast and dazzling special effects, this will tide the teens over until the next Harry Potter instalment.",Fresh,True
"Whether audiences will get behind The Lightning Thief is hard to predict. Overall, it's an entertaining introduction to a promising new world -- but will the consuming shadow of Potter be too big to break free of?",Fresh,True
"What's really lacking in The Lightning Thief is a genuine sense of wonder, the same thing that brings viewers back to Hogwarts over and over again.",Rotten,False
It's more a list of ingredients than a movie-magic potion to enjoy from start to finish.,Rotten,False
Harry Potter knockoffs don't come more transparent and slapdash than this wannabe-franchise jumpstarter directed by Chris Columbus.,Rotten,False
"Percy Jackson isn't a great movie, but it's a good one, trotting out kernels of Greek mythology like so many Disney Channel references.",Fresh,True
"Fun, brisk and imaginative",Fresh,True
"Crammed with dragons, set-destroying fights and things exploding, [Columbus] squeezes in a few well-meaning pause breaks about friendship and absent fathers before swiftly moving on to the next pyrotechnics display.",Fresh,True
"This action-packed fantasy adventure, based on Rick Riordan's hit Percy Jackson and the Olympians series of books, is great fun, and deserves to find an audience with teens now bereft of any Harry Potter magic.",Fresh,True
"For what it is and for whom it is intended, it's not a bad movie, just an indifferent one.",Rotten,False
"Chris Columbus returns to his comfort zone for this mirthless, episodic fantasy saga based on the young-reader book series by Rick Riordan.",Rotten,False
The best thing you can say about Chris Columbus's adaptation is that he's incapable of destroying whatever magic and wonder it is in these books that has kept kids coming back for more.,Fresh,True
This cast is simply too generic. None of the young thespians stick out.,Rotten,False
"Percy Jackson may not be ""Harry Potter good,"" but kids will really enjoy it and parents will be happy to have a moviethey can bring them to that's family-friendly.",Fresh,True
"[P]erfectly inoffensive, occasionally clever... It's in the few genuinely cinematically joyful moments, the ones that do rise above the formula, that you realize how much more this could have been...",Fresh,True
"Admirably, the movie isn't bogged down in the exposition common to first entries, but at the end, it's a franchise searching for its voice.",Rotten,False
The main thing this movie seems to be missing is classically trained British actors.,Fresh,True
"When the movie slows down to catch its breath, there's very little of the heart and soul -- and wry wit -- that make the Riordan books so beloved.",Rotten,False
"Imperfect, yes, but also both suitably imaginative and entertaining. Works as action-adventure razzle-dazzle, coming-of-age tale, and beginners' lesson on Greek mythology.",Fresh,True
"Although the standard allegorical bases for mythical-quest movies are dutifully covered, the obvious similarity of Percy Jackson to the Harry Potter movies inevitably makes it feel somewhat secondhand.",Rotten,False
"A little bit worse than lifeless; it's clueless, like a Medusa running around with her head cut off.",Rotten,False
You don't even have to be familiar with the first book in Rick Riordan's popular fantasy series to enjoy Chris Columbus' energetic adaptation.,Fresh,True
"This is generic filmmaking at its most banal, a simple-minded simplification of a not overwhelmingly complex book.",Rotten,False
