rotten_tomatoes_link,review_content,movie_title,review_type
m/0814255,Percy Jackson & the Olympians: The Lightning Thief proves to be a satisfying beginning to what is sure to be a promising film franchise.,Percy Jackson & the Olympians: The Lightning Thief,Fresh
m/0814255,The premise of Percy Jackson & the Olympians: The Lightning Thief holds great potential potential the film never realizes.,Percy Jackson & the Olympians: The Lightning Thief,Rotten
m/0878835,"Like Holofcener's previous pictures, Please Give derives its narrative energy less from a series of plotted incidents than from its keenly observed interplay of clashing personality tics and worldviews.",Please Give,Fresh
m/0878835,"A witty and observant comedy of manners, Please Give is another understated gem from writer-director Nicole Holofcener.",Please Give,Fresh
m/0878835,"Please Give is specific about its middle-class, white, Manhattan characters but it's also universal in the way one social class' anxieties are understood rather than simply celebrated.",Please Give,Fresh
m/0878835,"With her new film, the poignant and funny Please Give, Holofcener is at the top of her game.",Please Give,Fresh
m/0878835,"Sometimes -- and far too rarely -- a film will hit all the right notes, with sharp, original dialogue, brilliant casting and an absorbing story. So caught up in its spell, you dread seeing the credits roll. Please Give is that movie.",Please Give,Fresh
m/0878835,"Listening to the banter in Please Give feels like eavesdropping on natural conversations, shaped and selected by a skilled storyteller.",Please Give,Fresh
m/0878835,Two possible ways of regarding Please Give: It's shallow. Or maybe it's deeply shallow.,Please Give,Rotten
m/0878835,"Please Give is Holofcener's best movie to date. The slender plot presents itself without fuss, a slice of Manhattan life, a la Woody Allen's early, most engaging work.",Please Give,Fresh
m/0878835,"Please Give is a moral comedy that feels at times like one of the late Eric Rohmer's deceptively breezy miniatures, or a mid-period Woody Allen movie - the fussiness.",Please Give,Fresh
m/0878835,"Please Give is a series of such set-piece scenes, a breezy, though not negligible, exploration of the contest between avarice and empathy.",Please Give,Fresh
m/0878835,"Please Give proves that a film can be a spectacularly rewarding experience by just providing time spent with well-written, believable adult characters.",Please Give,Fresh
m/0878835,The combination of good-nature and light snark [make] Please Give maybe the strongest film of Holofcener's career.,Please Give,Fresh
m/0878835,"There's nothing wrong with asking audiences to make up their own minds, but Please Give doesn't even ask.",Please Give,Rotten
m/0878835,Please Give is one of those movies that can be enjoyed simply for its funny portraits of human foibles and fumbling grasps at intimacy -- but it's also deceivingly profound.,Please Give,Fresh
m/0878835,"Please Give is an almost perfectly rendered slice of life, buoyant with wonderful performances.",Please Give,Fresh
m/0878835,"In Please Give, Keener is at her best. Let's hope her creative partnership with Holofcener continues.",Please Give,Fresh
m/0878835,"While Please Give is a film about conscience, it's also slyly funny, with piercing moments of insight and warmth.",Please Give,Fresh
m/0878835,"Trifles, trivialities, frippery and froth. We've got plenty of words to describe things that don't matter. And now, we also have a film. Please Give.",Please Give,Rotten
m/0878835,Starved for whip-smart dialogue and characters who don't behave as though they've just stepped out of a cartoon? Holofcener's latest is guaranteed to please. Give it a look.,Please Give,Fresh
m/0878835,Director/writer Nicole Holofcener goes back east for Please Give. It is an auspicious move.,Please Give,Fresh
m/0878835,"Nicole Holofcener's lovely Please Give is a small, modest movie, full of the sort of characters we might know, or be.",Please Give,Fresh
m/0878835,"In both Please Give and Friends with Money, she wrestles with our all-to-human desire for nice things but judiciously avoids ridiculing her characters for sharing a longing that is as universal as it is regrettable.",Please Give,Fresh
m/0878835,"Please Give is quintessential Holofcener -- a loopy, episodic ensemble story of women dealing with marriage, money and men, but it's also her smartest, most disciplined movie to date.",Please Give,Fresh
m/0878835,"Keener has become Holofcener's artistic alter ego. In Please Give, the sharp-eyed filmmaker sends her vibrant representative out into the world to explore what it means for a woman to be lucky and still feel itchy.",Please Give,Fresh
m/0878835,"Nicole Holofcener, who writes the most interesting female characters in the movies, delivers another dazzling role to her muse, Catherine Keener, in Please Give, a delightfully dry dramedy about guilt.",Please Give,Fresh
m/0878835,"Please Give isn't laugh-out-loud funny, it is witty and clever-a pleasing tale where not much happens, but spending time with the film's characters is enough.",Please Give,Fresh
m/0878835,"Funny at times, Please Give is a surprisingly heartwarming coming-of-age film for six adults all passing through different stages of heir life.",Please Give,Fresh
m/0878835,Please Give is truly a film for our age; it's darkly comic stuff from a mistress of the miserable-urbanites genre.,Please Give,Fresh
m/10,"10 (1979) is known for its numerical rating system for beautiful women. It described itself as ""a temptingly tasteful comedy for adults",10,Fresh
m/10,"""10"" explores sexual yearning in a drama that is both funny and right on target with its depiction of the yearnings of men.",10,Fresh
m/10,"Blake Edwards's 10 is perhaps the first comedy about terminal yearning. Like all great comedies, it deals with emotions very close to our hearts.",10,Fresh
