claim,evidence,id,label,verifiable
Grease had bad reviews.,"[[[133128, None, None, None]]]",113501,NOT ENOUGH INFO,NOT VERIFIABLE
Ukrainian Soviet Socialist Republic was a founding participant of the UN.,"[[[296950, 288668, 'Ukrainian_Soviet_Socialist_Republic', 7]], [[298602, 290067, 'Ukrainian_Soviet_Socialist_Republic', 7], [298602, 290067, 'United_Nations', 0]], [[300696, 291816, 'Ukrainian_Soviet_Socialist_Republic', 7]], [[344347, 327887, 'Ukrainian_Soviet_Socialist_Republic', 7]], [[344994, 328433, 'Ukrainian_Soviet_Socialist_Republic', 7]], [[344997, 328435, 'Ukrainian_Soviet_Socialist_Republic', 7]]]",163803,SUPPORTS,VERIFIABLE
2 Hearts is a musical composition by Minogue.,"[[[225394, 230056, '2_Hearts_-LRB-Kylie_Minogue_song-RRB-', 0]], [[317953, 306972, '2_Hearts_-LRB-Kylie_Minogue_song-RRB-', 0]], [[319638, 308345, '2_Hearts_-LRB-Kylie_Minogue_song-RRB-', 0]], [[319643, 308348, '2_Hearts_-LRB-Kylie_Minogue_song-RRB-', 0]]]",70041,SUPPORTS,VERIFIABLE
The New Jersey Turnpike has zero shoulders.,"[[[238335, 240393, 'New_Jersey_Turnpike', 15]]]",202314,REFUTES,VERIFIABLE
Legendary Entertainment is the owner of Wanda Cinemas.,"[[[178035, None, None, None], [182093, None, None, None], [314120, None, None, None], [314126, None, None, None], [314131, None, None, None]]]",57085,NOT ENOUGH INFO,NOT VERIFIABLE
Aruba is the only ABC Island.,"[[[22769, 28071, 'ABC_islands_-LRB-Lesser_Antilles-RRB-', 0]], [[22769, 28072, 'ABC_islands_-LRB-Lesser_Antilles-RRB-', 1]]]",6032,REFUTES,VERIFIABLE
Great white sharks do not prefer dolphins as prey.,"[[[204612, None, None, None]]]",176630,NOT ENOUGH INFO,NOT VERIFIABLE
"Burbank, California has always been completely void of industry.","[[[152264, 167060, 'Burbank,_California', 7]]]",130048,REFUTES,VERIFIABLE
The Guthrie Theater's second building began operating in 1963.,"[[[117690, None, None, None]]]",100046,NOT ENOUGH INFO,NOT VERIFIABLE
Commodore is ranked above a rear admiral.,"[[[241594, 243126, 'Commodore_-LRB-rank-RRB-', 0]], [[241594, 243127, 'Commodore_-LRB-rank-RRB-', 9], [241594, 243127, 'Rear_admiral', 0]]]",204575,REFUTES,VERIFIABLE
