,id,claim
0,1947,Raja Hindustani is a movie.
1,131823,The Punisher is American.
2,195238,Kevin Bacon acted in a television show.
3,118195,Warren Beatty was a co-writer on Heaven Can Wait.
4,168931,The Boeing 767 is used for international flights.
5,97576,Yin and yang is a Taoist moral concept.
6,228576,Telephone consists of an expanded musical element.
7,102312,Daenerys Targaryen's older brother and only living relative is named Viserys.
8,13126,Chris Benoit is Canadian.
9,80356,Solanum contains ripe horse nettles.
10,168919,The Boeing 767 is used for transatlantic flights between North America and Europe.
11,67569,Jonah Hill earned $16 million dollars in 2014.
12,123903,Temple of the Dog toured the United States in 2016.
13,221153,Ted Cruz's middle name is Edward which his mother gave to him.
14,78719,Personality is affected by the movement of personal memories.
15,207340,Military deception is a form of strategic use of data.
16,209346,Alexandria is the largest seaport in Egypt.
17,33531,"The Romani people got to Mid-West Asia approximately 1,000 years ago."
18,159331,Weill Cornell Medicine is a unit.
19,144173,Reanimation is by American rock band Linkin Park.
20,114514,Personality is affected by the development of task performance.
21,30790,Grease was a cinematic work.
22,93878,"Warren Beatty was the co-writer, producer, and director of an epic drama movie."
23,138595,Aphrodite performs with the god of blacksmiths.
24,149489,The United States dollar is used in the Caribbean in two British Overseas Territories.
25,101883,Robert Singer (producer) wrote for a tv show.
26,94116,Road House was premiered in 1989.
27,192014,Adam Lambert is openly gay.
28,14801,Benjamin Franklin existed as a person who advocated.
29,32595,Castlevania was developed by Konami.
30,218090,The Indian National Congress was founded during the British Raj.
31,53478,Pink was born in 1979.
32,228694,Two and a Half Men season aired.
33,89707,There is a 2007 film called P.S I Love You (film).
34,84830,The 2003 NCAA Division I Men's Basketball Tournament was played in HD.
35,177851,Milk is a biopic.
36,48755,Maria Theresa ruled for 40 years.
37,21110,Azithromycin is viewed under many trade names worldwide.
38,55733,A near-Earth object is shorted to NEO.
39,144169,Music videos have been directed by ASAP Rocky for Danny Brown.
40,202298,The New Jersey Turnpike has 12 foot lanes.
41,51885,A Good Day to Die Hard was directed by John Moore.
42,31675,Jed Whedon is the son of a screenwriter.
43,121545,Large parts of North America was periodically covered by Cordilleran Ice Sheet.
44,202736,The Chaperone (film) is a creative work.
45,140286,Chris Benoit is from Canada.
46,155860,Richard Fortus is a guitarist of Guns N' Roses.
47,214984,Sensitive Skin's first series aired on Saturdays.
48,17731,Hollow Man has a sequel called Hollow Man 2 released in 2006.
49,215267,PBS is a public broadcaster.
50,161715,Multicellular organisms include eurkaryotes.
51,74488,Laura Robson is a Wimbledon Junior Girls' Championship winner.
52,62751,Heaven Can Wait came out.
53,65597,Uganda was ruled by the British.
54,190659,Alan White is a politician.
55,16394,Google Search can find stock quotes.
56,192037,American Library Association is old.
57,151428,"Sonny Bono, whose full name is Salvatore Phillip Bono, was born on February 16, 1935."
58,25505,Edouard Seguin worked in a place.
59,65590,"The Stanford prison experiment was financed by a group that coordinates, executes, and advocates the science and technology programs of the U.S. Navy and Marine Corps."
60,221124,Ted Cruz is a politician and attorney.
61,26687,The Stanford prison experiment was an examination of the causes of troubles between guards and prisoners.
62,192199,"Sacre-Coeur, Paris is publicly dedicated to something."
63,61749,Internet access started in the United States of America.
64,194572,Kyle Maclachlan has been nominated for an Emmy award because of a television series called Twin Peaks.
65,177863,Milk is based on the life of an activist.
66,57782,Camp Flog Gnaw is an event.
67,195479,William Howard Taft declined at least five offers of appointment to the Supreme Court of the United States.
68,38947,Two and a Half Men starred a person.
69,217029,Jab Tak Hai Jaan was praised for its lead actors.
70,195481,Becoming chief justice was William Howard Taft's personal ambition.
71,23496,Netscape Navigator was a web browser.
72,127659,The Book of Mormon was awarded multiple Tony Awards.
73,126050,Georgians arose from a place that was dependent on the Mongol Empire.
74,216193,Tenacious D achieved chart status after its release.
75,188887,Numenius of Apamea was a Greek philosopher who lived in Syria.
76,66473,Watchmen is a film set in an alternate history in the year 1985.
77,5079,The Times has been printed since at least 1785.
78,121472,Golf is played in a place.
79,74452,The United States dollar is used in the vending machine.
80,147158,"NXT Tag Team Championship was created by World Wrestling Entertainment, Inc."
81,32939,Louis Malle produced films.
82,45302,The Battle of the Trebia took place in the province of Piacenza.
83,164092,Annie is a film.
84,113279,The Hit is a 1984 film.
85,164101,Annie is a movie.
86,119992,The Ellen Show began its broadcast in the 21st century.
87,34250,ASAP Rocky is a music video director and producer.
88,145938,Proponents of globalism tend to advocate for changes to global policy.
89,149726,Shortness of breath by half capacity is one symptom of pulmonary embolism.
90,109817,Louis Malle worked in a French industry.
91,43011,Scandinavia does not include Greenland.
92,108734,Manchester by the Sea is a film that was premiered at the Sundance Film Festival.
93,33604,Birmingham is in the West Midlands.
94,203038,Akon has had more than ten songs certified as 1 × platinum.
95,64155,Ed Decter is a film director.
96,30638,Mandy Moore is an American citizen.
97,138664,Gotham got its premiere on Fox.
98,11276,Ekta Kapoor worked on a sitcom.
99,144506,Japan is in the Eastern Hemisphere.
100,118481,Some Kentucky inmates are executed by lethal injection instead of the electric chair.
101,203044,Akon is a musician.
102,77359,The Winds of Winter book six in a series of novels.
103,37432,Automated teller machines are part of Bank of America.
104,201464,A static web page is delivered to the user.
105,44809,The Independent Spirit Awards are held the day before the Academy Awards in Santa Monica.
106,212241,"Gory Guerrero's date of birth was January 11th, 1921."
107,68908,Eurotas (river) is the main river of Laconia.
108,20890,ASAP Rocky has directed music videos for Kanye West.
109,81710,A member of the Grateful Dead was Tom Constanten.
110,205131,Gaius Julius Caesar was the father of a Roman dictator.
111,67746,Scandinavia includes the remote Norwegian islands of Svalbard and Jan Mayen.
112,19091,NXT Tag Team Championship is a professional wresting competition aired on the WWE network.
113,103325,Spider-Man 2 was released in the 2000s.
114,24689,Pulmonary embolism is indicated by alterations in blood oxygen levels.
115,80289,The Cyclades are in a Sea.
116,154925,Heath Ledger was in I'm Not There.
117,40876,2 Hearts was the first commercial single since Minogue was diagnosed with breast cancer and it was successful.
118,72271,Heaven Can Wait was filmed after Here Comes Mr. Jordan.
119,108525,MS-13 is cruel for its tactics.
120,80487,Jed Whedon is a citizen.
121,93535,The House of the Spirits is about the life of a young lady named Clara during the military dictatorship in Chile in 1988.
122,110035,The Tenth Doctor appears in at least one episode of Doctor Who.
123,212033,A Pet develops social equality.
124,24779,"In 2015, among Americans, 30% of adults had consumed alcoholic drink in the last year."
125,189711,Martial arts films have fights between multiple characters.
126,124578,The Gettysburg Address is a speech.
127,124459,"James, Viscount Severn is the youngest grandchild and first grandson of Queen Elizabeth II."
128,112222,Ragtime features James Cagney.
129,113476,Mikhail Prokhorov is an erstwhile chairman of Polyus Gold.
130,67998,Kareena Kapoor had later success.
131,193557,Bala has received the National Film Award for Best Director in 2011.
132,6650,The Icelandic Coast Guard is responsible for something.
133,21720,Antigua and Barbuda was named after the Virgin of La Antigua in order to show respect to her.
134,15247,The New England Patriots won six Super Bowls.
135,48143,Edward Cullen is in America.
136,113106,Sky UK is a British telecommunications company.
137,162832,Islamabad contains Quaid-i-Azam University.
138,187565,Dan Brown is the author of a bestselling novel from 2003.
139,147821,Payphone is a lead single on Overexposed.
140,140292,Jimi Hendrix was a parachutist in the military.
141,73880,A near-Earth object is a tiny Solar System entity.
142,15542,Sky UK is a telecommunications company.
143,156308,Robert Zemeckis has made movies for nuclear families.
144,139831,Brie Larson and Destin Daniel worked together.
145,14501,Qin dynasty introduced several legislation.
146,81727,Pharmacology deals with the elucidation of cellular and organismal function.
147,21959,"The Incredibles 2 is scheduled to be released at 2 p. m. on June 15, 2018."
148,74960,Food Network is available in a authoritarian dictatorship.
149,33986,Samsung entered the construction and shipbuilding industries in the mid-1950s.
150,216198,Tenacious D was released before Christmas.
151,212039,A Pet helps those who live.
152,174874,The Alfred P. Murrah Federal Building was located in a constitutional federal republic in 2000.
153,11491,Anna Nicole Smith worked for multiple fashion companies.
154,102108,Birmingham has a post office.
155,68680,A.J. Styles is an athlete in a combat sport.
156,124240,Honeymoon is a collection of music.
157,130301,Freddie Highmore starred in a television series.
158,193556,Bala has received the National Film Award for Best Producer.
159,27702,"In the southwestern United States is Phoenix, Arizona."
160,211873,See.SZA.Run is influenced by gangsta rap and drone music.
161,162669,Norman Bates is a thrilling fictional character.
162,42117,One form of ground fighting is Brazilian jiu-jitsu.
163,145339,Emmanuel Macron worked as a banker.
164,212055,Social interaction can be supplied by a Pet.
165,76543,Ekta Kapoor worked on an Indian historical romance film.
166,23211,Aubrey Anderson-Emmons is a child actress.
167,45759,Chris Paul is a two-time Olympic gold winner in basketball.
168,222887,An all-seater stadium is a place for sports.
169,220452,There is a law of chastity in the Church of Jesus Christ of Latter-day Saints.
170,67417,A President of the United States was the person who delivered the Gettysburg Address.
