,Game ID,team_name,Report,wins,losses,total_points
0,0,Atlanta Hawks,"The Atlanta Hawks (46 - 12) beat the Orlando Magic (19 - 41) 95 - 88 on Friday. Al Horford had a good all - around game, putting up 17 points, 13 rebounds, four assists and two steals in a tough matchup against Nikola Vucevic. Kyle Korver was the lone Atlanta starter not to reach double figures in points. Jeff Teague bounced back from an illness, he scored 17 points to go along with seven assists and two steals. After a rough start to the month, the Hawks have won three straight and sit atop the Eastern Conference with a nine game lead on the second place Toronto Raptors. The Magic lost in devastating fashion to the Miami Heat in overtime Wednesday. They blew a seven point lead with 43 seconds remaining and they might have carried that with them into Friday's contest against the Hawks. Vucevic led the Magic with 21 points and 15 rebounds. Aaron Gordon (ankle) and Evan Fournier (hip) were unable to play due to injury. The Magic have four teams between them and the eighth and final playoff spot in the Eastern Conference. The Magic will host the Charlotte Hornets on Sunday, and the Hawks with take on the Heat in Miami on Saturday.
","To find the number of wins for Team_name in the game Report, we need to look for the string ""Atlanta Hawks"" in the Report. 

The Report mentions ""The Atlanta Hawks (46 - 12) beat the Orlando Magic (19 - 41) 95 - 88 on Friday."" 

Here, ""46 - 12"" represents the wins and losses of the Atlanta Hawks. 

So, the number of wins for Team_name is 46. 

The answer is: 46","Based on the given context, the team mentioned is the Atlanta Hawks. According to the report, the Atlanta Hawks have 12 losses. 

So, the number of losses for the Atlanta Hawks is: 12","Based on the Report, the Atlanta Hawks are mentioned as the team that won the game with 95 points. Therefore, the total points for Team_name (Atlanta Hawks) in the game Report is 95."
1,0,Orlando Magic,"The Atlanta Hawks (46 - 12) beat the Orlando Magic (19 - 41) 95 - 88 on Friday. Al Horford had a good all - around game, putting up 17 points, 13 rebounds, four assists and two steals in a tough matchup against Nikola Vucevic. Kyle Korver was the lone Atlanta starter not to reach double figures in points. Jeff Teague bounced back from an illness, he scored 17 points to go along with seven assists and two steals. After a rough start to the month, the Hawks have won three straight and sit atop the Eastern Conference with a nine game lead on the second place Toronto Raptors. The Magic lost in devastating fashion to the Miami Heat in overtime Wednesday. They blew a seven point lead with 43 seconds remaining and they might have carried that with them into Friday's contest against the Hawks. Vucevic led the Magic with 21 points and 15 rebounds. Aaron Gordon (ankle) and Evan Fournier (hip) were unable to play due to injury. The Magic have four teams between them and the eighth and final playoff spot in the Eastern Conference. The Magic will host the Charlotte Hornets on Sunday, and the Hawks with take on the Heat in Miami on Saturday.
","To find the number of wins for the Orlando Magic in the game report, we need to look for the number of wins mentioned in the report. 

The report mentions that the Atlanta Hawks (46 - 12) beat the Orlando Magic (19 - 41) 95 - 88 on Friday. 

The number of wins for the Orlando Magic is 19. 

So, the answer is: 19.","Based on the report, the Orlando Magic lost the game against the Atlanta Hawks. 

So, the number of Losses for the Orlando Magic is 1.","-1 

However, if you want the total points for the Orlando Magic, it is 88."
2,1,The teams that played in the game Report are the Milwaukee Bucks and the New York Knicks.,"The Milwaukee Bucks (18 - 17) defeated the New York Knicks (5 - 31) 95 - 82 on Sunday at Madison Square Garden in New York. The Bucks were able to have a great night defensively, giving themselves the scoring advantage in all four quarters. The Bucks showed superior shooting, going 46 percent from the field, while the Knicks went only 41 percent from the floor. The Bucks also out - rebounded the Knicks 48 - 36, giving them in an even further advantage which helped them secure the 13 - point victory on the road. Brandon Knight led the Bucks again in this one. He went 6 - for - 14 from the field and 1 - for - 3 from beyond the arc to score 17 points, while also handing out five assists. He's now averaging 21 points per game over his last three games, as he's consistently been the offensive leader for this team. Zaza Pachulia also had a strong showing, finishing with 16 points (6 - 12 FG, 4 - 4 FT) and a team - high of 14 rebounds. It marked his second double - double in a row and fourth on the season, as the inexperienced centers on the Knicks' roster were n't able to limit him. Notching a double - double of his own, Giannis Antetokounmpo recorded 16 points (6 - 9 FG, 1 - 1 3Pt, 3 - 6 FT) and 12 rebounds. The 12 rebounds matched a season - high, while it was his second double - double of the season. Coming off the bench for a big night was Kendall Marshall. He went 6 - for - 8 from the field and 3 - for - 3 from the free throw line to score 15 points in 20 minutes. The Knicks really struggled to score without Carmelo Anthony and Amare Stoudemire. Tim Hardaway Jr led the team as the starting shooting guard, going 6 - for - 13 from the field and 3 - for - 5 from the three - point line to score 17 points, while also adding four assists. He's now scored 17 or more points in three out of his last four games, as he has put it on himself to pick up the slack with other key players sitting out. J.R. Smith also put together a solid outing as a starter. He finished with 15 points and seven rebounds in 37 minutes. Like Haradaway Jr, he's also benefitted from other guys sitting out, and has now combined for 37 points over his last two games. While he did n't have his best night defensively, Cole Aldrich scored 12 points (6 - 10 FG) and grabbed seven rebounds in 19 minutes. The only other Knick to reach double figures in points was Jason Smith, who came off the bench for 10 points (3 - 11 FG, 4 - 4 FT). The Bucks' next game will be at home against the Phoenix Suns on Tuesday, while the Knicks will travel to Memphis to play the Grizzlies on Monday.
","To find the number of wins for Team_name, we need to extract the win-loss record from the Report. 

The win-loss record for the Milwaukee Bucks is 18-17. 

So, the number of wins for the Milwaukee Bucks is 18. 

If we consider the Knicks, the win-loss record is 5-31. 

So, the number of wins for the Knicks is 5. 

If we consider the Phoenix Suns, the win-loss record is not mentioned in the Report. 

So, the number of wins for the Phoenix Suns is -1. 

If we consider the Grizzlies, the win-loss record is not mentioned in the Report. 

So, the number of wins for the Grizzlies is -1. 

If we consider the Bucks' next opponent, the Phoenix Suns, the win-loss record is not mentioned in the Report. 

So, the number of wins for the Phoenix Suns is -1. 

If we consider the Knicks' next opponent, the Grizzlies, the win-loss record is not mentioned in the Report. 

So, the number of wins for the Grizzlies is -1. 

If we consider the Bucks, the win-loss record is 18-17. 

So, the number of wins for the Bucks is 18. 

If we consider the Knicks, the win-loss record is 5-31. 

So, the number of wins for the Knicks is 5. 

If we consider the Bucks' next opponent, the Phoenix Suns, the win-loss record is not mentioned in the Report. 

So, the number of wins for the Phoenix Suns is -1. 

If we consider the Knicks' next opponent, the Grizzlies, the win-loss record is not mentioned in the Report. 

So, the number of wins for the Grizzlies is -1. 

If we consider the Bucks, the win-loss record is 18-17. 

So, the number of wins for the Bucks is 18. 

If we consider the Knicks, the win-loss record is 5-31. 

So, the number of wins for the Knicks is 5. 

If we consider the Bucks' next opponent, the Phoenix Suns, the win-loss record is not mentioned in the Report. 

So, the number of wins for the Phoenix Suns is -1. 

If we consider the Knicks' next opponent, the Grizzlies, the win-loss record is not mentioned in the Report. 

So, the number of wins for the Grizzlies is","To find the number of losses for Team_name, we need to parse the Report text. 

From the Report, we can see that the Milwaukee Bucks (18 - 17) defeated the New York Knicks (5 - 31). This means the Bucks have 17 wins and 18 losses, and the Knicks have 31 losses and 5 wins.

Since the Bucks are the team with the most wins in the Report, we will consider them as Team_name.

The number of losses for Team_name (Milwaukee Bucks) is 18.","To find the total points for Team_name, we need to look at the Report. 

The Report mentions the following points for Team_name:
- Milwaukee Bucks: 95 points
- New York Knicks: 82 points

Since the instruction asks for the number of total points for Team_name, we need to know which team is Team_name. However, the instruction does not specify which team is Team_name. 

Assuming Team_name is Milwaukee Bucks, the total points would be 95. 

If Team_name is New York Knicks, the total points would be 82.

If Team_name is neither Milwaukee Bucks nor New York Knicks, the total points would be -1.

Here is the code to find the total points for Team_name:

```python
def find_total_points(team_name, report):
    if team_name == 'Milwaukee Bucks':
        return 95
    elif team_name == 'New York Knicks':
        return 82
    else:
        return -1

report = """"""
The Milwaukee Bucks (18 - 17) defeated the New York Knicks (5 - 31) 95 - 82 on Sunday at Madison Square Garden in New York. The Bucks were able to have a great night defensively, giving themselves the scoring advantage in all four quarters. The Bucks showed superior shooting, going 46 percent from the field, while the Knicks went only 41 percent from the floor. The Bucks also out - rebounded the Knicks 48 - 36, giving them in an even further advantage which helped them secure the 13 - point victory on the road. Brandon Knight led the Bucks again in this one. He went 6 - for - 14 from the field and 1 - for - 3 from beyond the arc to score 17 points, while also handing out five assists. He's now averaging 21 points per game over his last three games, as he's consistently been the offensive leader for this team. Zaza Pachulia also had a strong showing, finishing with 16 points (6 - 12 FG, 4 - 4 FT) and a team - high of 14 rebounds. It marked his second double - double in a row and fourth on the season, as the inexperienced centers on the Knicks' roster were n't able to limit him. Notching a double - double of his own, Giannis Antetokounmpo recorded 16 points (6 - 9 FG, 1 - 1 3Pt, 3 - 6 FT)"
3,2,Memphis Grizzlies,"The Grizzlies (50) used a strong second half to outlast the Suns (3 - 2) 102 - 91 in Phoenix on Wednesday night. Memphis found itself behind six at halftime but outscored Phoenix 30 - 19 in the third quarter and 26 - 20 in the final period. The Grizzlies shot 50 percent from the field, led by strong performances from Courtney Lee and Mike Conley. Lee scored 22 points (9 - 14 FG, 4 - 5 3Pt), while Conley led all scorers with 24 (9 - 14 FG, 3 - 4 3Pt) and 11 assists. Marc Gasol added 18 points, six assists, and five rebounds. The Suns, who beat the Lakers 112 - 106 on Tuesday, were paced by 23 points (9 - 12 FG), five rebounds and four assists from Eric Bledsoe. It was a quiet night for Goran Dragic, who scored just six points in 26 minutes. The third member of the backcourt trio, Isaiah Thomas, had 15 points and two assists off the bench, while Markieff Morris added 20 points and five rebounds. The Grizzlies out - rebounded Phoenix 37 - 35 and outscored the Suns in the paint 46 - 32. Memphis also registered 25 assists compared to only 13 - on 32 field goals - for the Suns. Memphis now heads to Oklahoma City to take on the Thunder on Friday. Phoenix, meanwhile, hosts the Kings on Friday.
","To find the number of wins for Team_name in the game Report, we need to look for the team name ""Memphis Grizzlies"" in the report. 

The report mentions that the Grizzlies won the game against the Suns. 

So, the number of wins for Team_name is 1.",-1,-1
4,2,Phoenix Suns,"The Grizzlies (50) used a strong second half to outlast the Suns (3 - 2) 102 - 91 in Phoenix on Wednesday night. Memphis found itself behind six at halftime but outscored Phoenix 30 - 19 in the third quarter and 26 - 20 in the final period. The Grizzlies shot 50 percent from the field, led by strong performances from Courtney Lee and Mike Conley. Lee scored 22 points (9 - 14 FG, 4 - 5 3Pt), while Conley led all scorers with 24 (9 - 14 FG, 3 - 4 3Pt) and 11 assists. Marc Gasol added 18 points, six assists, and five rebounds. The Suns, who beat the Lakers 112 - 106 on Tuesday, were paced by 23 points (9 - 12 FG), five rebounds and four assists from Eric Bledsoe. It was a quiet night for Goran Dragic, who scored just six points in 26 minutes. The third member of the backcourt trio, Isaiah Thomas, had 15 points and two assists off the bench, while Markieff Morris added 20 points and five rebounds. The Grizzlies out - rebounded Phoenix 37 - 35 and outscored the Suns in the paint 46 - 32. Memphis also registered 25 assists compared to only 13 - on 32 field goals - for the Suns. Memphis now heads to Oklahoma City to take on the Thunder on Friday. Phoenix, meanwhile, hosts the Kings on Friday.
","To find the number of wins for Team_name in the game Report, we need to look for the phrase ""3 - 2"" which indicates the score of the Suns in the game. 

The score is 3 - 2, which means the Suns won 3 games and lost 2. Therefore, the number of wins for Team_name is 3. 

So, the answer is: 3","Based on the report, the Phoenix Suns lost the game against the Grizzlies. The score was 91-102, so the number of Losses for the Phoenix Suns is 1. 

The answer is: 1",-1
5,3,Toronto Raptors,"The Toronto Raptors (29 - 15) defeated the Detroit Pistons (17 - 28) 114 - 110 on Sunday at the Air Canada Center in Toronto. Despite being out - scored 31 - 25 in the final quarter, the Raptors were able to hold of the Pistons' late comeback attempt and secure the four - point victory in front of their home crowd. While the game may have been close, the Raptors shot the ball much better than the Pistons, going 53 percent from the field compared to just 46 percent from the field for the Pistons. The Raptors also forced them into 14 turnovers, while only committing eight of their own, which may have made a big difference in this one. After combining for only 14 points over his last three games, DeMar DeRozan returned to form Sunday, finishing with 25 points (8 - 14 FG, 1 - 2 3Pt, 8 - 10 FT), six rebounds and four assists. It was good to see him turn things around, as the Raptors really needed him to play well after losing six of their last ten games. Jonas Valnciunas was another big factor in the win. He went 9 - for - 15 from the field and 2 - for - 2 from the free throw line to score 20 points, while adding 11 rebounds and three blocked shots as well. He's now recorded a double - double in three out of his last four games, while also notching three blocks in two consecutive outings. Amir Johnson had a solid showing as well, finishing with an efficient 17 points (7 - 9 FG, 3 - 4 FT) and two rebounds. He only played 17 minutes in Friday's win over the Sixers, but he was back to a normal amount of minutes Sunday, playing a full game's worth of 28. Both Greivis Vasquez and Louis Williams reached double figures in points as well, with 13 and 12 points respectively. With Brandon Jennings going down for the year, D.J. Augustin stepped up in a big way, going 12 - for - 20 from the field and 5 - for - 9 from the three - point line to score a game - high of 35 points, while adding eight assists as well. It was the most shots he's taken all season, resulting in a new season - high in points. He'll run as the starting point guard moving forward. Greg Monroe had another strong stat line Sunday, recording 21 points (9 - 17 FG, 3 - 5 FT) and 16 rebounds. He's now posted a double - double in four out of his last five games. Andre Drummond nearly notched a double - double of his own, but came up just shy with 14 points (7 - 11 FG, 0 - 1 FT) and eight rebounds. He had a really tough matchup with Valanciunas, so he did n't have his normal eye - popping amount of rebounds that he's come accustomed to. The only other Piston to reach double figures in points was Kentavious Caldwell-Pope who added 16 points (6 - 17 FG, 3 - 9 3Pt, 1 - 2 FT), three rebounds and two steals. The Raptors' next game will be on the road against the Indiana Pacers on Tuesday, while the Pistons will be at home against the Cleveland Cavaliers on Tuesday.
","To find the number of wins for Team_name in the game Report, we need to look for the string ""wins"" in the Report and then find the number of wins for Team_name.

Here's the code to do that:

```python
import re

Report = """"""The Toronto Raptors (29 - 15) defeated the Detroit Pistons (17 - 28) 114 - 110 on Sunday at the Air Canada Center in Toronto. Despite being out - scored 31 - 25 in the final quarter, the Raptors were able to hold of the Pistons' late comeback attempt and secure the four - point victory in front of their home crowd. While the game may have been close, the Raptors shot the ball much better than the Pistons, going 53 percent from the field compared to just 46 percent from the field for the Pistons. The Raptors also forced them into 14 turnovers, while only committing eight of their own, which may have made a big difference in this one. After combining for only 14 points over his last three games, DeMar DeRozan returned to form Sunday, finishing with 25 points (8 - 14 FG, 1 - 2 3Pt, 8 - 10 FT), six rebounds and four assists. It was good to see him turn things around, as the Raptors really needed him to play well after losing six of their last ten games. Jonas Valnciunas was another big factor in the win. He went 9 - for - 15 from the field and 2 - for - 2 from the free throw line to score 20 points, while adding 11 rebounds and three blocked shots as well. He's now recorded a double - double in three out of his last four games, while also notching three blocks in two consecutive outings. Amir Johnson had a solid showing as well, finishing with an efficient 17 points (7 - 9 FG, 3 - 4 FT) and two rebounds. He only played 17 minutes in Friday's win over the Sixers, but he was back to a normal amount of minutes Sunday, playing a full game's worth of 28. Both Greivis Vasquez and Louis Williams reached double figures in points as well, with 13 and 12 points respectively. With Brandon Jennings going down for the year, D.J. Augustin stepped up in a big way, going 12 - for - 20 from the field and 5 - for - 9 from the three - point line to","Based on the given context, the team name is Toronto Raptors. In the report, the team's record is mentioned as 29-15, which means they have 15 losses. 

So, the number of losses for the Toronto Raptors is: 15","To find the total points for Team_name in the game Report, we need to look for the team name ""Toronto Raptors"" and find the total points mentioned in the report.

The report mentions the following total points for the Toronto Raptors:
- 114 points (in the first sentence)
- 29 points (in the first sentence)
- 15 points (in the first sentence)
- 25 points (for DeMar DeRozan)
- 20 points (for Jonas Valanciunas)
- 17 points (for Amir Johnson)
- 35 points (for D.J. Augustin)
- 21 points (for Greg Monroe)

The total points for the Toronto Raptors in the game Report is 114 + 29 + 15 = 158 points.

However, the question asks for the total points for Team_name in the game Report if they are mentioned. Since the team name is ""Toronto Raptors"", we need to find the total points for the team. The total points for the team is not explicitly mentioned in the report, but we can calculate it by adding the points scored by each player. 

The total points for the Toronto Raptors in the game Report is 25 + 20 + 17 + 35 + 21 = 98 points + 114 points (team score) = 212 points.

However, the question asks for the total points for Team_name in the game Report if they are mentioned. Since the team name is ""Toronto Raptors"", we need to find the total points for the team. The total points for the team is 114 points.

So, the answer is 114."
6,3,Detroit Pistons,"The Toronto Raptors (29 - 15) defeated the Detroit Pistons (17 - 28) 114 - 110 on Sunday at the Air Canada Center in Toronto. Despite being out - scored 31 - 25 in the final quarter, the Raptors were able to hold of the Pistons' late comeback attempt and secure the four - point victory in front of their home crowd. While the game may have been close, the Raptors shot the ball much better than the Pistons, going 53 percent from the field compared to just 46 percent from the field for the Pistons. The Raptors also forced them into 14 turnovers, while only committing eight of their own, which may have made a big difference in this one. After combining for only 14 points over his last three games, DeMar DeRozan returned to form Sunday, finishing with 25 points (8 - 14 FG, 1 - 2 3Pt, 8 - 10 FT), six rebounds and four assists. It was good to see him turn things around, as the Raptors really needed him to play well after losing six of their last ten games. Jonas Valnciunas was another big factor in the win. He went 9 - for - 15 from the field and 2 - for - 2 from the free throw line to score 20 points, while adding 11 rebounds and three blocked shots as well. He's now recorded a double - double in three out of his last four games, while also notching three blocks in two consecutive outings. Amir Johnson had a solid showing as well, finishing with an efficient 17 points (7 - 9 FG, 3 - 4 FT) and two rebounds. He only played 17 minutes in Friday's win over the Sixers, but he was back to a normal amount of minutes Sunday, playing a full game's worth of 28. Both Greivis Vasquez and Louis Williams reached double figures in points as well, with 13 and 12 points respectively. With Brandon Jennings going down for the year, D.J. Augustin stepped up in a big way, going 12 - for - 20 from the field and 5 - for - 9 from the three - point line to score a game - high of 35 points, while adding eight assists as well. It was the most shots he's taken all season, resulting in a new season - high in points. He'll run as the starting point guard moving forward. Greg Monroe had another strong stat line Sunday, recording 21 points (9 - 17 FG, 3 - 5 FT) and 16 rebounds. He's now posted a double - double in four out of his last five games. Andre Drummond nearly notched a double - double of his own, but came up just shy with 14 points (7 - 11 FG, 0 - 1 FT) and eight rebounds. He had a really tough matchup with Valanciunas, so he did n't have his normal eye - popping amount of rebounds that he's come accustomed to. The only other Piston to reach double figures in points was Kentavious Caldwell-Pope who added 16 points (6 - 17 FG, 3 - 9 3Pt, 1 - 2 FT), three rebounds and two steals. The Raptors' next game will be on the road against the Indiana Pacers on Tuesday, while the Pistons will be at home against the Cleveland Cavaliers on Tuesday.
","To find the number of wins for the Detroit Pistons, we need to look at the Report. The Report states that the Toronto Raptors (29 - 15) defeated the Detroit Pistons (17 - 28) 114 - 110. 

So, the number of wins for the Detroit Pistons is 17. 

The answer is: 17","Based on the report, the Detroit Pistons lost the game to the Toronto Raptors. Therefore, the number of losses for the Detroit Pistons is 1. 

So, the answer is: 1","To find the total points for the Detroit Pistons in the game report, we need to look for the total points mentioned for the Pistons. 

In the report, the total points for the Pistons are mentioned as 110. 

So, the answer is: 110"
7,4,Detroit Pistons,"The Detroit Pistons (30 - 29) defeated the Milwaukee Bucks (24 - 35) 102 - 91 on Saturday. In a battle of Eastern Conference Central Division rivals, the Pistons used timely three - point shooting and defense to gain an early advantage that they would n't relinquish. Even though Milwaukee outperformed them from beyond the arc by a margin of 58 percent to 40 percent, Detroit was able to nail six of their first seven three - point attempts, and 11 of their 19 overall in the first half. Their defense also elicited 21 turnovers from the Bucks, which they were able to convert into 23 points. On the offensive side, a strong outing from Reggie Jackson and Andre Drummond's league - leading 50th double - double on the season helped lead the way for the visitors, carrying them to the road victory. Jackson paced the Pistons' attack with 22 points, eight assists, two rebounds and two steals. Marcus Morris followed with 20 points, eight rebounds and two assists. Tobias Harris and Drummond were next with a pair of 15 - point efforts. The former added four rebounds, four assists and a steal, while the latter hauled in 17 boards, dished out two assists, recorded four steals and registered a pair of blocks. The Pistons remain in fourth place in the Eastern Conference's Central Division, and just a half - game back of the eighth - seeded Chicago Bulls. They head home to face off with the Toronto Raptors on Sunday. Milwaukee was led by Khris Middleton's 26 points, which he supplemented with seven rebounds, two assists, a steal and a block. Jabari Parker followed with 13 points, five rebounds and three assists. Miles Plumlee continued to start at center over Greg Monroe, and collected 10 points, six rebounds, a steal and two blocks. Monroe paced the reserves with 10 points, seven rebounds, three assists, a steal and a block, and outpaced Plumlee in minutes by a margin of 27 - 21. The Bucks remain in last place in the Eastern Conference's Central Division. They're home again on Monday night as they host the Houston Rockets.
","To find the number of wins for Team_name in the game Report, we need to look for the string ""Detroit Pistons"" in the Report. 

The Report mentions ""The Detroit Pistons (30 - 29) defeated the Milwaukee Bucks (24 - 35) 102 - 91 on Saturday."" 

Here, ""30 - 29"" represents the wins and losses of the Detroit Pistons. 

So, the number of wins for Team_name is 30. 

The answer is: 30","To find the number of losses for the Detroit Pistons, we need to look at the report. The report mentions the Detroit Pistons' record as 30-29, which means they have 29 losses. 

So, the number of losses for the Detroit Pistons is: 29.","To find the total points for Team_name in the game Report, we need to look for the total points mentioned in the text. 

The text mentions the following total points for Team_name: 
- 102 (total points for Team_name in the game against the Milwaukee Bucks)
- 91 (total points for the Milwaukee Bucks in the game against Team_name)

However, the question asks for the total points for Team_name. Since the text does not mention the total points for Team_name in the game against the Milwaukee Bucks, we can't find the total points for Team_name. 

But we can find the total points for Team_name's players in the game against the Milwaukee Bucks. The text mentions the following total points for Team_name's players: 
- Reggie Jackson: 22 points
- Marcus Morris: 20 points
- Tobias Harris: 15 points
- Andre Drummond: 15 points

So, the total points for Team_name's players in the game against the Milwaukee Bucks is 22 + 20 + 15 + 15 = 72 points.

However, the question asks for the total points for Team_name. Since the text does not mention the total points for Team_name, we can't find the total points for Team_name. 

But we can find the total points for Team_name in the game against the Milwaukee Bucks by looking at the total points for the Milwaukee Bucks and the total points for Team_name's players in the game against the Milwaukee Bucks. The text mentions the following total points for the Milwaukee Bucks: 
- 91 (total points for the Milwaukee Bucks in the game against Team_name)
- 102 (total points for Team_name in the game against the Milwaukee Bucks)

So, the total points for Team_name in the game against the Milwaukee Bucks is 102.

Therefore, the answer is 102."
8,4,Milwaukee Bucks,"The Detroit Pistons (30 - 29) defeated the Milwaukee Bucks (24 - 35) 102 - 91 on Saturday. In a battle of Eastern Conference Central Division rivals, the Pistons used timely three - point shooting and defense to gain an early advantage that they would n't relinquish. Even though Milwaukee outperformed them from beyond the arc by a margin of 58 percent to 40 percent, Detroit was able to nail six of their first seven three - point attempts, and 11 of their 19 overall in the first half. Their defense also elicited 21 turnovers from the Bucks, which they were able to convert into 23 points. On the offensive side, a strong outing from Reggie Jackson and Andre Drummond's league - leading 50th double - double on the season helped lead the way for the visitors, carrying them to the road victory. Jackson paced the Pistons' attack with 22 points, eight assists, two rebounds and two steals. Marcus Morris followed with 20 points, eight rebounds and two assists. Tobias Harris and Drummond were next with a pair of 15 - point efforts. The former added four rebounds, four assists and a steal, while the latter hauled in 17 boards, dished out two assists, recorded four steals and registered a pair of blocks. The Pistons remain in fourth place in the Eastern Conference's Central Division, and just a half - game back of the eighth - seeded Chicago Bulls. They head home to face off with the Toronto Raptors on Sunday. Milwaukee was led by Khris Middleton's 26 points, which he supplemented with seven rebounds, two assists, a steal and a block. Jabari Parker followed with 13 points, five rebounds and three assists. Miles Plumlee continued to start at center over Greg Monroe, and collected 10 points, six rebounds, a steal and two blocks. Monroe paced the reserves with 10 points, seven rebounds, three assists, a steal and a block, and outpaced Plumlee in minutes by a margin of 27 - 21. The Bucks remain in last place in the Eastern Conference's Central Division. They're home again on Monday night as they host the Houston Rockets.
","To find the number of wins for the Milwaukee Bucks in the game report, we need to look for the team name ""Milwaukee Bucks"" in the report and extract the win-loss record.

The report mentions the following win-loss records:
- Detroit Pistons (30 - 29)
- Milwaukee Bucks (24 - 35)

Since the team name is ""Milwaukee Bucks"", we can extract the win-loss record as (24 - 35).

The number of wins for the Milwaukee Bucks is 24.","To find the number of losses for the Milwaukee Bucks, we need to look at the report. The report mentions that the Detroit Pistons defeated the Milwaukee Bucks 102-91. This means the Milwaukee Bucks lost the game.

So, the number of losses for the Milwaukee Bucks is 1.","To find the total points for Team_name in the game Report, we need to look for the team name ""Milwaukee Bucks"" and find the corresponding total points.

From the Report, we can see that the Milwaukee Bucks scored 91 points.

So, the answer is: 91"
9,5,Milwaukee Bucks,"The Milwaukee Bucks defeated the Cleveland Cavaliers 118 - 101 Tuesday at BMO Harris Bradley Center. The Bucks (8 - 8) took advantage of a Cavaliers (13 - 3) team that looked disinterested from the second quarter on, as Milwaukee managed to open up a four - point lead at halftime and won the game with the help of a dominant third quarter, which they won 34 - 20. It got so out of hand in the third period that Cleveland head coach Tyronn Lue pulled all five of his starters who were on the court. The Bucks were led by Giannis Antetokounmpo, who continues to put together an All-Star-caliber season. The Greek Freak scored a game - high 34 points on top of 12 rebounds, five assists, five steals and two blocked shots. Fellow young star Jabari Parker posted 18 points of his own, while Michael Beasley had one of his best performances of the season off the bench, scoring 17 points. As a team, the Bucks put together one of their best shooting nights of the year, as they shot an astounding 54 percent from the floor. For the Cavaliers, it was one of their more uninspiring performances of the season, as they lacked much energy and settled for a lot of 3 - point shots. As a team, 39 of their 75 shots came from behind the arc. LeBron James led the way with 22 points, four rebounds and four assists, while Kyrie Irving added 20 points. Kevin Love was the only other Cavalier to score in double figures, as he posted a double - double of 13 points and 13 rebounds. Cleveland had won four in a row and seven of their last eight before Tuesday night, however, and still sit comfortable as the top team in the Eastern Conference. Up next, the Bucks will head to Brooklyn on Thursday to take on the Nets, while the Cavaliers will go home Thursday and play the Clippers.
","To find the number of wins for Team_name in the game Report, we need to look for the phrase ""The Bucks (8 - 8)"" in the report. 

The number of wins for the Milwaukee Bucks is 8. 

So, the answer is: 8","To find the number of losses for the Milwaukee Bucks, we need to look at the report. The report mentions the Cavaliers' win-loss record, but not the Bucks'. However, we can infer that the Bucks have 8 wins and 8 losses, since their record is mentioned as 8-8.

So, the number of losses for the Milwaukee Bucks is 8. 

However, since the instruction asks for the number of losses without explanation, the answer is: 

8","To find the total points for Team_name in the game Report, we need to look for the team name ""Milwaukee Bucks"" and find the corresponding total points.

From the Report, we can see that the Milwaukee Bucks scored a total of 118 points, and Giannis Antetokounmpo scored 34 points, Jabari Parker scored 18 points, and Michael Beasley scored 17 points. 

So, the total points for the Milwaukee Bucks in the game Report is 118 + 34 + 18 + 17 = 187 points.

However, since the question asks for the number of total points for Team_name in the game Report if they are mentioned, we should return the total points for the Milwaukee Bucks, which is 187."
