rotten_tomatoes_link,movie_title,movie_info,genre,runtime,original_release_date,is_drama,is_comedy,before_2000,over_2h,originalLanguage,written_in_german
m/0878835,Please Give,"Kate (Catherine Keener) and her husband Alex (Oliver Platt) are wealthy New Yorkers who prowl estate sales and make a tidy profit reselling items they bought cheaply. They buy the apartment next door and plan to remodel just as soon as its current occupant, a cranky old woman, dies. Kate is troubled by the way she and her husband earn a living, and tries to assuage her guilt by befriending her tenant and the woman's granddaughters, but her overtures lead to unexpected consequences.",Comedy,90.0,2010-04-30,False,True,False,False,English,False
m/10012136-winters_bone,Winter's Bone,"Faced with an unresponsive mother and a criminal father, Ozark teenager Ree Dolly (Jennifer Lawrence) does what she can to manage the household and take care of her two younger siblings. Informed by the sheriff (Garret Dillahunt) that their father put their home up for bond and then disappeared, Ree sets out on a dangerous quest to find him. Her entire family's fate now in her hands, Ree challenges her outlaw kin's code of silence and risks her life to learn her father's fate.",Drama,99.0,2010-06-11,True,False,False,False,English,False
m/1005199-dangerous_liaisons,Dangerous Liaisons,"The Marquise de Merteuil (Glenn Close) and the Vicomte de Valmont (John Malkovich) display the petty jealousies and jaded insouciance of life in France's royal court in the 18th century, casually ruining the lives of de Merteuil's young romantic rival (Uma Thurman), the music teacher (Keanu Reeves) for whom she secretly pines and the upstanding Madame de Tourvel (Michelle Pfeiffer). But when actual romantic feelings begin to surface, their games take on a more treacherous air.",Drama,120.0,1988-01-01,True,False,True,False,French (Canada),False
m/1005360-day_of_the_dead,Day of the Dead,"The living dead regroup above while humans (Lori Cardille, Terry Alexander, Joseph Pilato) sweat it out below in a Florida missile silo.",Horror,102.0,1985-07-03,False,False,True,False,English,False
m/1005512-death_in_venice,Death in Venice,"Composer Gustave Aschenbach (Dirk Bogarde) travels to a Venice resort to escape personal and artistic stress. However, peace eludes him as he develops a disturbing attraction to an adolescent boy, Tadzio (Björn Andresen). However, their lives are both threatened with a sudden outbreak of cholera.",Drama,130.0,1971-03-01,True,False,True,True,German,True
m/1006527-elephant_man,The Elephant Man,"Dr. Frederic Treves (Anthony Hopkins) discovers Joseph (John) Merrick (John Hurt) in a sideshow. Born with a congenital disorder, Merrick uses his disfigurement to earn a living as the ""Elephant Man."" Treves brings Merrick into his home, discovering that his rough exterior hides a refined soul, and that Merrick can teach the stodgy British upper class of the time a lesson about dignity. Merrick becomes the toast of London and charms a caring actress (Anne Bancroft) before his death at 27.",Drama,125.0,1980-10-03,True,False,True,True,English,False
m/1009219-hardcore,Hardcore,"When Michigan businessman Jake Van Dorn (George C. Scott) lets his teenage daughter go on a church trip to California, she never returns. Jake hires Los Angeles investigator Andy Mast (Peter Boyle) to look for her, and Mast turns up a pornographic film she's recently appeared in. Both stunned and increasingly disappointed with the police, Jake travels to California where he poses as an adult-film producer in hopes of finding someone who's seen his little girl.",Drama,108.0,1979-01-01,True,False,True,False,English,False
m/1046151-fearless,Fearless,"When Max Klein (Jeff Bridges) survives a plane crash that kills many others, his last-minute epiphanies bring him a sense of invulnerability, leading to radical behavior. Instead of contacting his wife (Isabella Rossellini) after the crash, he sets off on a trip to see his old girlfriend, eats foods he was allergic to previously, and is strangely unafraid to fly again. Can a psychologist (John Turturro) and a fellow guilt-ridden survivor (Rosie Perez) help bring him down to earth?",Drama,121.0,1993-01-01,True,False,True,True,English,False
m/1067987-casino,Casino,"In early-1970s Las Vegas, low-level mobster Sam ""Ace"" Rothstein (Robert De Niro) gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro (Joe Pesci), his ex-hustler wife Ginger (Sharon Stone), her con-artist ex Lester Diamond (James Woods) and a handful of corrupt politicians put Sam in ever-increasing danger. Martin Scorsese directs this adaptation of Nicholas Pileggi's book.",Drama,177.0,1995-11-22,True,False,True,True,English,False
m/1085404-impostors,The Impostors,"Two struggling New York actors (Oliver Platt, Stanley Tucci) disguise themselves as stewards on a luxury liner bound for France.",Comedy,101.0,1999-06-01,False,True,True,False,English,False
