,Player Name,birth_place
0,Mike Miller,"Memphis, Tennessee"
1,Quincy Acy,"Tyler, Texas"
2,Joe Johnson,"Little Rock, Arkansas"
3,Brook Lopez,"North Hollywood, California"
4,Davis Bertans,"Valmiera, Latvia"
5,DeAndre' Bembry,"Charlotte, North Carolina"
6,Okaro White,"Brooklyn, New York"
7,Deron Williams,"Parkersburg, West Virginia"
8,Glen Davis,"Baton Rouge, Louisiana"
9,Raul Neto,Belo Horizonte
10,Kevin Martin,"Stevenson, Alberta, Canada"
11,Rudy Gay,"Brooklyn, New York"
12,Marquese Chriss,"Sacramento, California"
13,Justise Winslow,"Houston, Texas"
14,Emmanuel Mudiay,"Kinshasa, Zaire (now Democratic Republic of the Congo)"
15,Erick Green,"Inglewood, California"
16,E'Twaun Moore,"East Chicago, Indiana"
17,Josh Richardson,"Edmond, Oklahoma"
18,Sergey Karasev,"Saint Petersburg, Russia"
19,Evan Turner,"Boston, Massachusetts"
20,Isaiah Canaan,"Biloxi, Mississippi"
21,Zoran Dragic,Ljubljana
22,Doug McDermott,"Grand Forks, North Dakota"
23,Ray McCallum,"Detroit, Michigan"
24,Jusuf Nurkic,"Tuzla, Bosnia and Herzegovina"
25,Joel Anthony,"Montreal, Quebec, Canada"
26,Cameron Payne,"Memphis, Tennessee"
27,Troy Williams,I don't have information about Troy Williams' birthplace. Can you provide more context or details about Troy Williams? Is he a sports player or a public figure? This will help me give a more accurate answer.
28,Henry Sims,New York City
29,Jarell Eddie,"Tampa, Florida"
30,A.J. Price,"Orange, New Jersey"
31,Sebastian Telfair,"Brooklyn, New York"
32,Francisco Garcia,"Santo Domingo, Dominican Republic"
33,Patty Mills,"Canberra, Australia"
34,Omer Asik,"Bursa, Turkey"
35,Kawhi Leonard,Los Angeles
36,Denzel Valentine,"Chicago, Illinois"
37,Quincy Miller,"Chicago, Illinois"
38,DeAndre Liggins,"Chicago, Illinois"
39,Hollis Thompson,Los Angeles
40,Grant Jerrett,Salt Lake City
41,Josh McRoberts,"Indianapolis, Indiana"
42,Gary Harris,"Fishers, Indiana"
43,Jonas Jerebko,"Borås, Sweden"
44,John Henson,I don't have information on the birthplace of John Henson. Can I help you with anything else?
45,Kendall Marshall,"Dumfries, Virginia"
46,PJ Tucker,"Raleigh, North Carolina"
47,Adreian Payne,"Dayton, Ohio"
48,Nicolas Batum,"Lisieux, France"
49,Marc Gasol,Sant Boi de Llobregat
50,Chase Budinger,"Encinitas, California"
51,Cristiano Felicio,Pouso Alegre
52,Kevon Looney,"Milwaukee, Wisconsin"
53,Rajon Rondo,"Louisville, Kentucky"
54,Pau Gasol,Sant Boi de Llobregat
55,Martell Webster,"Edmonds, Washington"
56,Brandon Jennings,"Compton, California"
57,Dario Saric,"Šibenik, Croatia"
58,Blake Griffin,"Oklahoma City, Oklahoma"
59,Malcolm Brogdon,"Norcross, Georgia"
60,Perry Jones III,"Winchester, Virginia"
61,Kevin Durant,"Washington, D.C."
62,Joe Ingles,"Eaglehawk, Australia"
63,Ed Davis,"Washington, D.C."
64,Solomon Hill,"Los Angeles, California"
65,Deyonta Davis,"Muskegon, Michigan"
66,Shane Larkin,"Cincinnati, Ohio"
67,CJ Watson,"Las Vegas, Nevada"
68,Terry Rozier,"Youngstown, Ohio"
69,Carl Landry,"Milwaukee, Wisconsin"
70,Timofey Mozgov,"Saint Petersburg, Russia"
71,Reggie Williams,"Baltic, Florida"
72,Robin Lopez,"North Hollywood, California"
73,Russ Smith,New York City
74,J.J. Barea,"Mayagüez, Puerto Rico"
75,Troy Daniels,"Roanoke, Virginia"
76,Marcus Smart,"Flower Mound, Texas"
77,Briante Weber,"Chesapeake, Virginia"
78,Danny Granger,"New Orleans, Louisiana"
79,Aaron Brooks,"Seattle, Washington"
80,Dwyane Wade,"Chicago, Illinois"
81,Al-Farouq Aminu,"Atlanta, Georgia"
82,Alan Anderson,"Minneapolis, Minnesota"
83,Chris Copeland,"Orangeburg, South Carolina"
84,Al Jefferson,"Monticello, Mississippi"
85,Tarik Black,"Memphis, Tennessee"
86,Chris McCullough,"Bronx, New York"
87,Elfrid Payton,"Gretna, Louisiana"
88,LaMarcus Aldridge,"Dallas, Texas"
89,Jason Terry,"Seattle, Washington"
90,Patrick McCaw,"St. Louis, Missouri"
91,Pero Antic,"Skopje, Macedonia"
92,Jordan McRae,"Savannah, Georgia"
93,Jeff Taylor,"Nuremberg, West Germany"
94,Domantas Sabonis,"Portland, Oregon"
95,Jon Leuer,"Long Lake, Minnesota"
96,Mindaugas Kuzminskas,Vilnius
97,Jodie Meeks,"Nashville, Tennessee"
98,Larry Drew II,"Los Angeles, California"
99,Jerian Grant,Salt Lake City
100,Yogi Ferrell,"Dallas, Texas"
101,Tristan Thompson,"Brampton, Ontario"
102,Kyle Anderson,"Long Island, New York"
103,Markel Brown,"Peoria, Illinois"
104,Austin Daye,"Irvine, California"
105,Malachi Richardson,"Trenton, New Jersey"
106,Spencer Hawes,"Seattle, Washington"
107,Marcus Morris,"Philadelphia, Pennsylvania"
108,Shawn Marion,"Waukegan, Illinois"
109,Alex Len,"Antratsit, Ukraine"
110,Taj Gibson,"Brooklyn, New York"
111,Aron Baynes,New Zealand
112,Larry Sanders,"Fort Lauderdale, Florida"
113,Allen Crabbe,Los Angeles
114,Anthony Bennett,"Toronto, Ontario, Canada"
115,Joey Dorsey,"Baltimore, Maryland"
116,Kelly Oubre Jr.,"New Orleans, Louisiana"
117,Gorgui Dieng,"Kébémer, Senegal"
118,Will Barton,"Baltimore, Maryland"
119,Rashad Vaughn,"Minneapolis, Minnesota"
120,Jeff Ayres,"Ontario, California"
121,Shawn Long,"Morgan City, Louisiana"
122,Sergio Rodriguez,"Tres Cantos, Spain"
123,Ian Mahinmi,"Rouen, France"
124,DeAndre Jordan,"Houston, Texas"
125,Rodney Hood,"Merced, California"
126,Anthony Morrow,"Charlotte, North Carolina"
127,Karl-Anthony Towns,"Edison, New Jersey"
128,Jordan Hamilton,"Toronto, Ontario"
129,Corey Brewer,"Portland, Tennessee"
130,Sonny Weems,"West Memphis, Arkansas"
131,Eric Bledsoe,"Birmingham, Alabama"
132,Ryan Hollins,"Pasadena, California"
133,Jason Richardson,"Saginaw, Michigan"
134,Nikola Jokic,"Sombor, Serbia"
135,Derrick Rose,"Chicago, Illinois"
136,CJ McCollum,"Canton, Ohio"
137,John Wall,"Raleigh, North Carolina"
138,Kevin Garnett,"Mauldin, South Carolina"
139,Chasson Randle,"Rock Island, Illinois"
140,Joe Harris,"Chelan, Washington"
141,D.J. Augustin,"New Orleans, Louisiana"
142,Hedo Turkoglu,"Istanbul, Turkey"
143,Tony Wroten,"Philadelphia, Pennsylvania"
144,Kyrie Irving,"Melbourne, Australia"
145,Stephen Curry,"Akron, Ohio"
146,Tony Parker,"Bruges, Belgium"
147,Ian Clark,"Baton Rouge, Louisiana"
148,Nene,I don't have information on Nene's birthplace.
149,Ryan Kelly,"Carrickfergus, Northern Ireland"
150,Jae Crowder,"Vancouver, Washington"
151,Festus Ezeli,"Benin City, Nigeria"
152,James Harden,"Bellflower, California"
153,Evan Fournier,"Saint-Maurice, France"
154,Channing Frye,"White Plains, New York"
155,Kenneth Faried,"Newark, New Jersey"
156,Dante Exum,"Melbourne, Australia"
157,Andrew Bogut,"Melbourne, Australia"
158,Brandan Wright,"Nashville, Tennessee"
159,Patrick Beverley,"Chicago, Illinois"
160,Cory Joseph,"Toronto, Ontario, Canada"
161,Ivica Zubac,"Mostar, Bosnia and Herzegovina"
162,O.J. Mayo,"Huntington, West Virginia"
163,Brian Roberts,"Beckley, West Virginia"
164,Caron Butler,"Racine, Wisconsin"
165,Arron Afflalo,"Los Angeles, California"
166,Darrun Hilliard,"Beverly Hills, Michigan"
167,Clint Capela,"Geneva, Switzerland"
168,Pablo Prigioni,"Río Tercero, Córdoba, Argentina"
169,Eric Gordon,"Indianapolis, Indiana"
170,James Michael McAdoo,"Norfolk, Virginia"
171,Tyler Ennis,"Edmonton, Alberta, Canada"
172,Pierre Jackson,"Las Vegas, Nevada"
173,Hassan Whiteside,"San Antonio, Texas"
174,Giannis Antetokounmpo,"Athens, Greece"
175,Cory Jefferson,"Tacoma, Washington"
176,Kelly Olynyk,"Toronto, Ontario, Canada"
177,Thon Maker,"Wau, South Sudan"
178,Elijah Millsap,"Grand Forks, North Dakota"
179,Greg Monroe,"New Orleans, Louisiana"
180,Dejounte Murray,"Seattle, Washington"
181,Sheldon McClellan,"Houston, Texas"
182,Jonathon Simmons,"La Grange, Illinois"
183,Delon Wright,"Los Angeles, California"
184,Zaza Pachulia,"Tbilisi, Georgia"
185,Beno Udrih,"Celje, Slovenia"
186,Kent Bazemore,"Kelford, North Carolina"
187,Chandler Parsons,"Cassville, Missouri"
188,Tobias Harris,"Islandia, New York"
189,Anderson Varejao,"Santa Teresa, Brazil"
190,Reggie Bullock,"Baltimore, Maryland"
191,Will Bynum,"Chicago, Illinois"
192,Norris Cole,"Dayton, Ohio"
193,Kostas Papanikolaou,"Stavroupoli, Thessaloniki, Greece"
194,Timothe Luwawu-Cabarrot,"Cannes, France"
195,Tony Allen,"Chicago, Illinois"
196,Jeremy Lin,"Torrance, California"
197,Marcus Thornton,"Baton Rouge, Louisiana"
198,Wesley Matthews,"Madison, Wisconsin"
199,Darren Collison,"Rancho Cucamonga, California"
