review,sentiment
"....OK, small-town, clueless sheriff? Check. Sheriff's hot daughter? Check? Ne'er-do-well boyfriend of sheriff's hot daughter, whom sheriff hates? Check. Corporate land developer who greedily puts profit over people? Check. Developer's rank-and-file accidentally unleashing a primordial monster, then being pressured to cover it up? Check. Natives warning of mass death and destruction if things are not returned back to the way they were? Check. Amateurish CGI special effects that could have been produced by a Commodore 64 computer? Check. Seriously, virtually all the clichés of your typical Sci-Fi Original movie have been lumped into a classic, so-bad-it's-good movie. The only one that's missing is the scientist/expert trying to impart his knowledge; there is a paleontologist with three students who get ambushed my The Bone Eater fairly early in the movie, but they are basically extras in the movie. And I can honestly say that I predicted virtually all of this; right down to who survives and who doesn't (though I have to say I got the actual death time of one of the characters wrong by about an hour). I swear I could have done this movie myself if they gave me all the characters. Despite all this, the movie is fun to watch, if for no other reason than to play MST3K with your friends. If you're up for some mindless fun, it's a great movie to watch, which is why I give this movie a surprisingly respectable 4, even though for all intents and purposes it deserves a much, much lower rating. But then again you wouldn't tune in to a SciFi Original movie if you were looking for a movie with an actual plot, substantive characters or good special effects, would you?",negative
"Franco Nero stars as Cole a ninja who comes to the rescue of his war buddy Frank Landers (Alex Courtney) and his fetching wife (Susan George) to protect them from a mobster (Christopher George) who wants the land. Things get even more complicated when the mobster hires Cole's old nemesis (Sho Kosugi) who is also a ninja. Inept martial arts actioner, while having better production values then most ninja movies, fails to inject any life into the surroundings, or for that matter actionscenes. A poor effort all around.",negative
"I am oh soooo glad I have not spent money to go to the cinema on it :-). It is nothing more than compilation of elements of few other classic titles like The Thing, Final Fantasy, The Abyss etc. framed in rather dull and meaningless scenario. I really can not figure out what was the purpose of creating this movie - it has absolutely nothing new to offer in its storyline which additionally is also senseless. Moreover there is nothing to watch - the FX'es look like there were taken from a second hand store, you generally saw all of them in other movies. But it is definitely a good lullaby.",negative
"Not a terrible movie... But there are monster scenes where you will be rolling on the floor laughing - not a good thing for a action/thriller. The acting is generally pretty decent for a SciFi channel movie. Barry Corbin plays a credible US senator, and Lou Diamond Phillips again gives us a decent military/police/sheriff/agent/marshal figure. The special effects are well, ""special"" - for example, the external train shots are very obviously a model train.<br /><br />Goofs: A meteor strikes a stationary car in the opening scene. The car bursts into flames but does not budge an inch. After the impact, the meteor is lodged in the top of the car's hood - impossible from the low angle that the meteor came in at.<br /><br />Spoilers...<br /><br />A good portion of the movie's events are predictable, from the helicopter crash (""Pull up, pull up!""), to the fact that the annoying people get it in the end, to the classic blown bridge over a 1000 foot gorge awaiting the train, to the sequel set-up at the end.<br /><br />The scenes showing the aliens attacking are hilarious. They are vicious cute puppets and move at lightening speed - remember the Monty Python rabbit? Spoiler Goof: In one scene four people shooting clip after clip cannot hit a single creature because they move at lightning speed. Later in the movie Todd Bridges rigs up a mini flame thrower which he uses to dispatch a number of creatures at close range. On several occasions, Lou Diamond Phillips is able to easily grab creatures with his bare hands.",negative
"Talk about your classics! Ernie Fossilus (the Foss from here on out) came up with a cute and creative trailer totally spoofing Star Wars. This gem is so jammed packed with tributes and gags I laugh every time! Not only that, when Star Wars did a re-issue with new special effects, Hardware Wars did the same! Talk about a spoof that just won't die! There's a reason George Lucas calls this his favorite parody. He was so impressed, he even hired the Foss to work on ""Return of the Jedi"" (Don't believe me, check his entry in IMDb!)<br /><br />This has to be the first, and in my opinion, the best parody ever done. I think the Special Edition was a bit overdone, but on reflection, I think it's PERFECT for the modern day re-release of Star Wars, and goes to prove that sometimes, it's wrong to mess with perfection.<br /><br />Yes, it's only 10 minutes, but it's well worth your time.<br /><br />You'll laugh, you'll cry, you'll kiss $3 goodbye! Well, maybe 15 for the DVD, but you'll be real happy you did.",positive
"I had the pleasure of witnessing this brilliant film at a preview screening in Sydney. Although it was a pleasure to see it. Pleasure is not the emotion you are left with as the credits roll.<br /><br />2:37 is a film that tackles not just one stigma felt by young individuals but all of them. Chief of which is isolation. It is not just to place the films final galvanising scene on a pedestal above the others, but rather it is important to see it as the culmination. And from that, it is important to realise what it represents to both you as the viewer and to the people directly effected by it.<br /><br />2:37 is not a soft picture but the manner in which Mr Thalluri handles it's subject matter with a profound dignity and it's no holds barred approach acts as credit to it's message.<br /><br />I do not believe films such as 2:37 should be scaled by votes of favour. Rather it should be recommended to those looking for purpose in their viewing.<br /><br />A brilliantly crafted portrait of innocence lost. And a master stroke for a as of yet untaped talent.<br /><br />Not to be missed.",positive
"This has to be my favourite film. The script is sharp and played to the limit by an excellent Miller and fantastic Carlisle! Sharp wit, excellent narrative and no Hollywood polishing; a totally immersible film which has you gunning for the bad guys! Stott excels again as the detestable Chance, while Liv Tyler truly beats her other, lighter performances as the excitement-hungry Rebecca! The soundtrack may not be known to you by name, but anyone who has ever seen Top Gear, watched the football or seen any TV action sequence is probably familiar with it, particularly due to Craig Armstrong's, 'Escape' which must allow him never to work again! The soundtrack on first play may seem out of place in a costume drama/action/comedy, but one re-watching shows it is perfectly at home in giving the the script it's drama.<br /><br />My one gripe about this film is that it isn't shown enough on TV! Where is it? Truly excellent, sharp and classy - you'll not regret watching it - again and again! (exits to switch on DVD player!)",positive
"This movie is a clumsy mishmash of various ghost-story and suspense-thriller conventions, none of them fully realized and all of them rather irritating. The script was perfunctory. The acting, ditto. The scary FX were mostly laughable except for one exquisite seat-jumper moment that scared me even though I saw it coming a mile off. Now, explain to me someone why you would need ghosts, AND black magic, AND arcane ritual objects, AND Count Crapula CG boogeymen, AND psychic investigators, AND family curses, AND Irish superstitions, AND bowls of milk left out for the supernatural beings, AND possessed dollies, all in the same movie? With all that you would expect more than one good moment of horror, but this movie is lame, lame, lame.",negative
"Amidst all the many problems that make this a dire piece of celluloid is the stupidest plot device in recent cinema history. Richard Gere determines who the Jackal's real target is through some form of revelation. He does not work anything out, it just comes to him. When in doubt ""He's going after the First Lady!"". This film blows chunks.",negative
"I saw this movie on mystery science theater when it was called ""It lives by night"". That title is much less misleading than ""Batpeople"". In fact it would more accurately be called Batperson. This movie is about a doctor who studies bats I am thinking because he wants to make a better cure for rabies. This is not really clear. What is clear is that he and his wife take a tour of a cave and he gets bitten by a bat. Why a scientist needs to take a tour to study bats is beyond me. Shouldn't he be able to go in by himself. Well after being bitten he and his wife go on their honeymoon where he starts having fits. They go to the worst doctor ever. The guy stays in the hospital and kills a nurse. In the end the guy kills 3-4 people and his wife stands by him and you are supposed to be rooting for him instead of the sheriff investigating the murders.",negative
