,id,claim
2,70041,2 Hearts is a musical composition by Minogue.
8,100046,The Guthrie Theater's second building began operating in 1963.
11,164883,Hezbollah received a type of training from Iran.
12,54298,"In states still employing the electric chair to execute people, the prisoner is allowed the choice of lethal injection as an alternative method."
13,222749,Practical Magic is an American romantic drama film.
16,124578,The Gettysburg Address is a speech.
19,132244,Wolfgang Amadeus Mozart showed he was a child protege.
22,85923,Adidas designs items.
24,1933,Dissociative identity disorder is known as multiple personality disorder.
25,88894,Zoe Saldana is a Leo.
26,17915,Fred Seibert has produced comedy programs.
27,58396,Konidela Production Company was established.
28,150751,Paul von Hindenburg was a man.
29,179831,"Vic Mensa was born June 12, 1993."
31,7429,Jenny McCarthy modeled for Playboy magazine.
33,19068,Color of Night came out in 1994.
39,118448,"Richard Dawson's date of birth was November 20, 1932."
43,30108,Pocahontas attended a masque at Whitehall Palace which was a place where mostly English people gathered.
47,50942,Yemen has a eastern coast.
48,35804,There was an attempt to incorporate Cyprus into Greece.
49,132874,Daredevil is based on the character of the same name.
50,75311,Moscovium's atomic symbol contains a G and at least two E's.
56,69108,Maria Theresa was Emperor Charles VI's daughter.
57,211019,Resident Evil is loosely based on a series of video games.
63,2961,Taarak Mehta Ka Ooltah Chashmah is produced by Neela Tele Films Private Limited and has run a long time.
64,162206,Ding Yanyuhang is male.
66,178219,Move (Little Mix song) was released in October of 2013.
72,184285,Vera Wang is an American Fashion Designer.
75,101407,Benjamin Franklin had indefatigable campaigning for colonial unity and was regarded.
76,211022,Resident Evil is loosely based on a novel series.
77,49169,"In 2004, Spider-Man 2 was released."
80,114158,There is a software that is branded with a number for the versions it is released as called Adobe Photoshop.
81,175864,Chris Mullin played with a team who play basketball professionally.
82,117767,Louis Malle produced films in the English language.
83,90291,Color of Night won a Golden Raspberry Award in 1994.
86,55024,Lorelai Gilmore's father is a banker.
87,152656,Zoe Saldana is a citizen of somewhere.
90,28788,Maggie Q starred in a CW series.
91,64885,James Spader is known for portraying eccentric villains.
92,118395,Netscape Navigator was rejected by a subsidiary of AOL.
96,205109,Gaius Julius Caesar was the uncle of a dictator.
97,175450,Death Note is a Japanese television series that is available on DVD.
99,129789,"Google Search can find stock quotes, updated in real time."
100,115065,The Silver Surfer appears in Dutch comic books.
102,129672,Amy Adams stars in Trouble with the Curve.
105,195124,Backing vocalists provide vocal harmony.
106,104562,Yvonne Strahovski was involved in an ABC period drama.
107,89156,Doxycycline may cause teeth to change color in children.
108,197660,The University of Leicester contributed to the discovery of the pets of King Richard III.
110,70280,Scandinavia does not include the remote Norwegian islands of Svalbard and Jan Mayen as of 2002.
111,7581,Adidas designs boots.
113,158017,Two of Mozart's sons were alive after his death.
114,67148,Richard Fortus has recorded a studio album with a band.
117,61233,Half Girlfriend was partially filmed in Delhi.
119,105645,Prices for stocks can be shown in Google Search.
121,39959,Leslie Alexander is a former Lawrence Kotkin Associates bond trader.
126,225863,Revolver topped America's Billboard Top LP's list for six weeks in 1965.
128,64471,"In 2014, Sledgehammer was performed live for the first time."
129,39537,Shape of You made the top baby name charts.
132,204556,Commodore is a naval rank.
135,128180,Dan Trachtenberg is from the United States.
136,16079,Solanum contains plants with ornamental flowers.
137,221137,Ted Cruz is an American male.
138,78516,"Doug Petrie made a cameo in Dr. Horrible's Sing-Along Blog as ""Professor Normal""."
139,1219,The Vandals were an East Germanic tribe or group of tribes.
140,58352,Woodrow Wilson formed the belief system Wilsonianism.
146,135212,Joni Mitchell released an album.
147,126173,"Half Girlfriend's principal photography began on June 16, 2016."
148,121548,Cyprus is a place where tourists go.
150,149016,The 2003 NCAA Division I Men's Basketball Tournament was widely viewed.
154,23835,Carol Danvers appeared in 35 comic books published by Marvel Comics.
155,182902,The cinematography of Far from the Madding Crowd was by an English cinematographer.
156,27273,Key & Peele has been nominated for a Writers Guild Award and an Oscar.
157,48936,Reanimation is not a remix album.
159,11145,Benzodiazepine is a medication.
162,72519,The Times switched to a compact format in response to commuter complaints.
165,144391,The year 1990 saw the release of the movie Ghost.
166,22726,"In Kentucky, the electric chair has been kept in operation except for those whose capital crimes were committed prior to March 31, 1998, and who choose electrocution."
168,62587,Anne Boleyn was maid of honour to the Queen of England.
170,185999,Kyra Sedgwick received a Golden Globe Award.
176,46023,Shannon Lee is a martial artist.
177,150321,Lorelai Gilmore has a mother who appears on the show.
178,86043,Superhuman abilities may result from lever enhancement by genetic modification.
179,58952,"Deepika Padukone's acting career includes comedies, dramas, and romances."
181,59890,Natasha Lyonne was born in 1979.
183,225819,Chinatown was directed by someone.
184,25005,ASAP Rocky has directed music videos for himself and Danny Brown.
185,132806,Barbarella is not non-fiction.
189,185780,Logie Awards had many guest celebrities.
192,154815,There have been more than 4 and a half million copies of The Fame sold.
194,146837,The Catcher in the Rye deals with issues.
197,214790,The 2007 Toronto International Film Festival featured The Tracey Fragments.
199,67244,The current Duke of York is a person.
201,43515,Jenny McCarthy began her career in 1993.
206,11656,Freddie Highmore starred in the television series Bates Motel.
207,138328,Jenny McCarthy modeled for Maxim magazine.
209,207340,Military deception is a form of strategic use of data.
211,15542,Sky UK is a telecommunications company.
214,193556,Bala has received the National Film Award for Best Producer.
215,27702,"In the southwestern United States is Phoenix, Arizona."
216,145339,Emmanuel Macron worked as a banker.
217,104073,Sherilyn Fenn named her cat after Boxing Helena.
223,75778,Brown University's main campus is located in the College Hill Historic District of Providence.
226,198553,Catherine Hardwicke has done production design for television shows.
228,54930,The Icelandic Coast Guard is a service and it is significant to modern infrastructure.
229,226458,Chadwick Boseman portrayed a film character.
239,224137,Celebrity Rehab with Dr. Drew is a TV show.
242,72751,Jamie Lee Curtis had a starring role in John Carpenter's Halloween.
248,114278,Georgians came about from an ancient realm on the shore of the Black Sea.
249,127883,Nate Diaz competed in Japan for Pancrase.
250,139529,"Shape of You was the top song on the singles charts of the UK, Australia, and Canada."
252,183417,"Simi Valley, California, reported that its median household income was $87,894 in the 2012 U.S. Census."
255,194432,The Indiana Pacers were established as an ABA member.
257,215272,PBS is a television program distributor.
259,3597,Ice-T began his career as a rapper in the 1980s.
261,46755,Little Dorrit was later published in serial form.
265,78534,Benjamin Franklin was an author.
266,13876,Brazilian jiu-jitsu includes grappling.
268,127090,Jenny McCarthy is a model.
272,185184,You Only Live Twice is the first Bond movie with the director Lewis Gilbert.
273,46262,Henry III assumed the throne at nine years old in the middle of the First Barons' War.
274,19865,Yemen's temporary capital is Aden.
276,92851,John Frusciante incorporated experimental rock into his music.
279,108739,James Brolin has had roles in situational comedies.
281,198545,Catherine Hardwicke is an award-winning film director.
282,136062,"In 2008, Touch My Body was released."
284,130978,Kaya Scodelario was nominated for two BAFTA.
286,93878,"Warren Beatty was the co-writer, producer, and director of an epic drama movie."
287,118195,Warren Beatty was a co-writer on Heaven Can Wait.
288,121461,Ekta Kapoor worked on an Indian historical romance film that premiered in 2008.
289,114514,Personality is affected by the development of task performance.
290,138595,Aphrodite performs with the god of blacksmiths.
291,102312,Daenerys Targaryen's older brother and only living relative is named Viserys.
293,149489,The United States dollar is used in the Caribbean in two British Overseas Territories.
295,168931,The Boeing 767 is used for international flights.
296,53478,Pink was born in 1979.
301,127133,The Dodo has been depicted with brownish-grey hair.
302,24779,"In 2015, among Americans, 30% of adults had consumed alcoholic drink in the last year."
305,50486,The Atlanta metropolitan area covers 39 counties.
314,168086,Jean-Jacques Dessalines ruled over a territory.
315,149063,Raven-Symoné is an entertainer.
316,111151,Hinduism contains the Yoga philosophy.
321,45310,The Africa Cup of Nations had its schedule changed in 2013 to avoid conflict with the World Cup.
324,106392,Michael Hutchence died in a hotel room in Sydney.
328,219676,Corsica contains Haute-Corse.
329,152955,I Want to Know What Love Is is a single.
333,108420,There are one or more seasons of Heroes.
334,141268,There is a drama called Exit the King.
341,171503,"Jiang Wen was born on January 5, 1963."
342,102019,"Around the world, medical school vary in the nature of medical programs."
346,92472,UNESCO's City of Literature program is separate from its Creative Cities Network.
347,133233,Touch My Body was released in 2008.
349,74224,"The Last Song (film) began filming on Monday, June 14th, 2009."
350,197632,There was a contribution to the discovery of the remains of King Richard III by the University of Leicester.
351,152165,I (film) was released in German.
353,5917,Heath Ledger aspired to be a film producer.
357,189885,"Augustus Prew was born in Westminster, London."
359,225723,David Lloyd George served as a prime minister.
360,129426,"In 2016, Sausage Party was released."
362,76354,Ice-T's Rhyme Pays was his first commercial full length record.
363,227773,Lyon is the third-largest city in France.
364,29550,The Invisible Man was a science fiction horror film.
365,69436,SpongeBob SquarePants is a media franchise.
366,57989,Arjit Singh is an Indian male musician.
367,33235,The Walking Dead (comic book) inspired The Walking Dead: Torn Apart.
368,227114,Blank Space is on a top 100 list in numerous countries.
371,125440,Stomp the Yard has Meagan Good in a minor role.
372,30961,Georges Gilles de la Tourette described symptoms of Tourette's syndrome.
377,197636,There was a contribution of the identification of the remains of King Richard III by the University of Leicester.
378,156694,"South Island is referred to as the ""mainland."""
386,92586,Firefox is one of the most popular web browsers.
387,32534,Japan is in Asia.
389,194565,Kyle Maclachlan has won an award called Golden Globe for Best Actor.
392,38947,Two and a Half Men starred a person.
394,66473,Watchmen is a film set in an alternate history in the year 1985.
395,121472,Golf is played in a place.
397,32939,Louis Malle produced films.
398,87573,Wolfgang Amadeus Mozart had two cousins who outlived him.
400,108734,Manchester by the Sea is a film that was premiered at the Sundance Film Festival.
401,11276,Ekta Kapoor worked on a sitcom.
403,48607,Pakistan's economy is 42nd largest in nominal gross domestic product.
409,126218,The New England Patriots won five Super Bowls as of 2015.
411,6650,The Icelandic Coast Guard is responsible for something.
412,162832,Islamabad contains Quaid-i-Azam University.
