,id,claim
1,163803,Ukrainian Soviet Socialist Republic was a founding participant of the UN.
2,70041,2 Hearts is a musical composition by Minogue.
4,57085,Legendary Entertainment is the owner of Wanda Cinemas.
6,176630,Great white sharks do not prefer dolphins as prey.
8,100046,The Guthrie Theater's second building began operating in 1963.
11,164883,Hezbollah received a type of training from Iran.
12,54298,"In states still employing the electric chair to execute people, the prisoner is allowed the choice of lethal injection as an alternative method."
13,222749,Practical Magic is an American romantic drama film.
16,124578,The Gettysburg Address is a speech.
19,132244,Wolfgang Amadeus Mozart showed he was a child protege.
20,225798,Chinatown's writer is a convicted statutory rapist.
22,85923,Adidas designs items.
24,1933,Dissociative identity disorder is known as multiple personality disorder.
25,88894,Zoe Saldana is a Leo.
26,17915,Fred Seibert has produced comedy programs.
27,58396,Konidela Production Company was established.
28,150751,Paul von Hindenburg was a man.
29,179831,"Vic Mensa was born June 12, 1993."
31,7429,Jenny McCarthy modeled for Playboy magazine.
32,11538,Mutiny on the Bounty is an American film.
33,19068,Color of Night came out in 1994.
39,118448,"Richard Dawson's date of birth was November 20, 1932."
43,30108,Pocahontas attended a masque at Whitehall Palace which was a place where mostly English people gathered.
47,50942,Yemen has a eastern coast.
48,35804,There was an attempt to incorporate Cyprus into Greece.
49,132874,Daredevil is based on the character of the same name.
50,75311,Moscovium's atomic symbol contains a G and at least two E's.
56,69108,Maria Theresa was Emperor Charles VI's daughter.
57,211019,Resident Evil is loosely based on a series of video games.
63,2961,Taarak Mehta Ka Ooltah Chashmah is produced by Neela Tele Films Private Limited and has run a long time.
64,162206,Ding Yanyuhang is male.
66,178219,Move (Little Mix song) was released in October of 2013.
72,184285,Vera Wang is an American Fashion Designer.
76,211022,Resident Evil is loosely based on a novel series.
77,49169,"In 2004, Spider-Man 2 was released."
80,114158,There is a software that is branded with a number for the versions it is released as called Adobe Photoshop.
81,175864,Chris Mullin played with a team who play basketball professionally.
82,117767,Louis Malle produced films in the English language.
83,90291,Color of Night won a Golden Raspberry Award in 1994.
86,55024,Lorelai Gilmore's father is a banker.
87,152656,Zoe Saldana is a citizen of somewhere.
90,28788,Maggie Q starred in a CW series.
91,64885,James Spader is known for portraying eccentric villains.
92,118395,Netscape Navigator was rejected by a subsidiary of AOL.
96,205109,Gaius Julius Caesar was the uncle of a dictator.
97,175450,Death Note is a Japanese television series that is available on DVD.
99,129789,"Google Search can find stock quotes, updated in real time."
100,115065,The Silver Surfer appears in Dutch comic books.
102,129672,Amy Adams stars in Trouble with the Curve.
105,195124,Backing vocalists provide vocal harmony.
106,104562,Yvonne Strahovski was involved in an ABC period drama.
107,89156,Doxycycline may cause teeth to change color in children.
108,197660,The University of Leicester contributed to the discovery of the pets of King Richard III.
110,70280,Scandinavia does not include the remote Norwegian islands of Svalbard and Jan Mayen as of 2002.
111,7581,Adidas designs boots.
113,158017,Two of Mozart's sons were alive after his death.
114,67148,Richard Fortus has recorded a studio album with a band.
117,61233,Half Girlfriend was partially filmed in Delhi.
118,195926,The Hyksos' chief deity became married to a god of the desert.
119,105645,Prices for stocks can be shown in Google Search.
121,39959,Leslie Alexander is a former Lawrence Kotkin Associates bond trader.
126,225863,Revolver topped America's Billboard Top LP's list for six weeks in 1965.
128,64471,"In 2014, Sledgehammer was performed live for the first time."
129,39537,Shape of You made the top baby name charts.
130,39811,"Benjamin Franklin was not born on April 17th, 1790."
132,204556,Commodore is a naval rank.
135,128180,Dan Trachtenberg is from the United States.
136,16079,Solanum contains plants with ornamental flowers.
137,221137,Ted Cruz is an American male.
