,rotten_tomatoes_link,movie_title,review_content,actor
0,m/0814255,Percy Jackson & the Olympians: The Lightning Thief,"Built with set pieces that demonstrate a real affection for Greek myth iconography and centered on a strong performance by Logan Lerman (a star in the making), Percy Jackson & The Olympians aims young and hits the target fairly consistently.",Logan Lerman
1,m/0878835,Please Give,"Keener, Peet and Hall all shine as women plagued with self-doubt who respond to those insecurities in strikingly different ways.",Catherine Keener
2,m/0878835,Please Give,"In Please Give, Keener is at her best. Let's hope her creative partnership with Holofcener continues.",Catherine Keener
3,m/1000013-12_angry_men,12 Angry Men (Twelve Angry Men),Outstanding Henry Fonda jury classic.,Henry Fonda
4,m/1000079-20000_leagues_under_the_sea,"20,000 Leagues Under The Sea","James Mason's portrayal of Captain Nemo is a hard-edged, dramatic performance, with no winking nods or cartoonish layers. You could transport Mason whole into a much darker movie with R-rated violence, and he would fit like a glove.",James Mason
5,m/1000121-39_steps,The 39 Steps,"With its great turns by Donat, Carroll (the original Hitchcock blonde) and all the cast, and immaculate direction of a cracking script, this is timelessly enjoyable. A true classic.",Robert Donat
6,m/1000121-39_steps,The 39 Steps,"With its great turns by Donat, Carroll (the original Hitchcock blonde) and all the cast, and immaculate direction of a cracking script, this is timelessly enjoyable. A true classic.",Madeleine Carroll
7,m/1000123-310_to_yuma,3:10 to Yuma,"Made in the vein of The Gunfighter and High Noon, this mature psychological Western is arguably Delmer Daves best film, featuring Van Heflin (in the Gary Cooper role) and Glenn Ford as the bad-good guy at their most appealing and accomplished.",Van Heflin
8,m/1000123-310_to_yuma,3:10 to Yuma,"Made in the vein of The Gunfighter and High Noon, this mature psychological Western is arguably Delmer Daves best film, featuring Van Heflin (in the Gary Cooper role) and Glenn Ford as the bad-good guy at their most appealing and accomplished.",Glenn Ford
9,m/1000204-abraham_lincoln,Abraham Lincoln,Recommended solely for Walter Huston's performance.,Walter Huston
